场景,日氨产量(t/day),时段,时段序号(h),设备状态,常规负荷功率(MW),生产负荷功率(MW),总负荷功率(MW),风电功率(MW),光伏功率(MW),风光总出力(MW),购电功率(MW),售电功率(MW),购电电价(¥/kWh),售电电价(¥/kWh),开机边际电网成本(¥/h)
典型场景,72,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,10.107999999999999,28.8,38.908,6.412199999999999,0.0,0.6074,0.3779,17154.449900000003
典型场景,72,16:00-17:00,17,1,3.75,41.5,45.25,6.3839999999999995,17.92,24.304000000000002,20.945999999999998,0.0,0.6074,0.3779,20489.957000000002
典型场景,72,17:00-18:00,18,1,3.1398,41.5,44.6398,6.428000000000001,5.12,11.548000000000002,33.0918,0.0,0.6074,0.3779,23277.418100000003
典型场景,72,18:00-19:00,19,1,2.61,41.5,44.11,5.736,0.0,5.736,38.374,0.0,0.8024,0.3779,31972.613000000005
典型场景,72,19:00-20:00,20,1,2.1198,41.5,43.6198,3.752,0.0,3.752,39.867799999999995,0.0,0.8024,0.3779,32606.731099999994
典型场景,72,20:00-21:00,21,1,1.8599999999999999,41.5,43.36,3.6919999999999997,0.0,3.6919999999999997,39.668,0.0,0.8024,0.3779,32521.916
典型场景,72,21:00-22:00,22,1,1.6301999999999999,41.5,43.1302,4.88,0.0,4.88,38.2502,0.0,0.6074,0.3779,24461.270900000003
典型场景,72,22:00-23:00,23,1,1.56,41.5,43.06,2.5,0.0,2.5,40.56,0.0,0.6074,0.3779,24991.370000000003
典型场景,72,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996
典型场景,63,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,10.904,0.0,10.904,31.965799999999998,0.0,0.3424,0.3779,14548.0641
典型场景,63,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,15.152000000000001,0.0,15.152000000000001,27.4478,0.0,0.3424,0.3779,14708.4531
典型场景,63,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,13.312,0.0,13.312,28.9878,0.0,0.3424,0.3779,14653.7831
典型场景,63,3:00-4:00,4,1,0.99,41.5,42.49,15.072000000000001,0.0,15.072000000000001,27.418,0.0,0.3424,0.3779,14709.510999999999
典型场景,63,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,18.724,0.0,18.724,23.9562,0.0,0.3424,0.3779,14832.404899999998
典型场景,63,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,9.628,1.28,10.908,32.2222,0.0,0.3424,0.3779,14538.961899999998
典型场景,63,6:00-7:00,7,1,2.5002,41.5,44.0002,22.804000000000002,7.68,30.484,13.516199999999998,0.0,0.3424,0.3779,15203.0249
典型场景,63,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,17.852,17.92,35.772000000000006,9.098199999999991,0.0,0.6074,0.3779,17770.8869
典型场景,63,8:00-9:00,9,1,4.0098,41.5,45.5098,14.328000000000001,28.8,43.128,2.3817999999999984,0.0,0.6074,0.3779,16229.4731
典型场景,63,9:00-10:00,10,1,4.199999999999999,41.5,45.7,11.904,37.12,49.024,0.0,3.323999999999998,0.6074,0.3779,15682.850000000002
典型场景,63,10:00-11:00,11,1,4.1202,41.5,45.6202,7.736,42.88,50.616,0.0,4.995800000000003,0.8024,0.3779,15682.850000000002
典型场景,63,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,8.556000000000001,44.8,53.355999999999995,0.0,7.955999999999996,0.8024,0.3779,15682.85
典型场景,63,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,14.52,46.08,60.599999999999994,0.0,15.840199999999996,0.8024,0.3779,15682.849999999999
典型场景,63,13:00-14:00,14,1,2.6898,41.5,44.1898,6.707999999999999,42.88,49.588,0.0,5.398200000000003,0.8024,0.3779,15682.849999999999
典型场景,63,14:00-15:00,15,1,3.63,41.5,45.13,11.175999999999998,37.12,48.29599999999999,0.0,3.1659999999999897,0.8024,0.3779,15682.85
典型场景,63,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,10.107999999999999,28.8,38.908,6.412199999999999,0.0,0.6074,0.3779,17154.449900000003
典型场景,63,16:00-17:00,17,1,3.75,41.5,45.25,6.3839999999999995,17.92,24.304000000000002,20.945999999999998,0.0,0.6074,0.3779,20489.957000000002
典型场景,63,17:00-18:00,18,1,3.1398,41.5,44.6398,6.428000000000001,5.12,11.548000000000002,33.0918,0.0,0.6074,0.3779,23277.418100000003
典型场景,63,18:00-19:00,19,0,2.61,0.0,2.61,5.736,0.0,5.736,0.0,3.126,0.8024,0.3779,31972.613000000005
典型场景,63,19:00-20:00,20,0,2.1198,0.0,2.1198,3.752,0.0,3.752,0.0,1.6321999999999997,0.8024,0.3779,32606.731099999994
典型场景,63,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,1.8319999999999999,0.8024,0.3779,32521.916
典型场景,63,21:00-22:00,22,1,1.6301999999999999,41.5,43.1302,4.88,0.0,4.88,38.2502,0.0,0.6074,0.3779,24461.270900000003
典型场景,63,22:00-23:00,23,1,1.56,41.5,43.06,2.5,0.0,2.5,40.56,0.0,0.6074,0.3779,24991.370000000003
典型场景,63,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996
典型场景,54,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,10.904,0.0,10.904,31.965799999999998,0.0,0.3424,0.3779,14548.0641
典型场景,54,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,15.152000000000001,0.0,15.152000000000001,27.4478,0.0,0.3424,0.3779,14708.4531
典型场景,54,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,13.312,0.0,13.312,28.9878,0.0,0.3424,0.3779,14653.7831
典型场景,54,3:00-4:00,4,1,0.99,41.5,42.49,15.072000000000001,0.0,15.072000000000001,27.418,0.0,0.3424,0.3779,14709.510999999999
典型场景,54,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,18.724,0.0,18.724,23.9562,0.0,0.3424,0.3779,14832.404899999998
典型场景,54,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,9.628,1.28,10.908,32.2222,0.0,0.3424,0.3779,14538.961899999998
典型场景,54,6:00-7:00,7,1,2.5002,41.5,44.0002,22.804000000000002,7.68,30.484,13.516199999999998,0.0,0.3424,0.3779,15203.0249
典型场景,54,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,17.852,17.92,35.772000000000006,9.098199999999991,0.0,0.6074,0.3779,17770.8869
典型场景,54,8:00-9:00,9,1,4.0098,41.5,45.5098,14.328000000000001,28.8,43.128,2.3817999999999984,0.0,0.6074,0.3779,16229.4731
典型场景,54,9:00-10:00,10,1,4.199999999999999,41.5,45.7,11.904,37.12,49.024,0.0,3.323999999999998,0.6074,0.3779,15682.850000000002
典型场景,54,10:00-11:00,11,1,4.1202,41.5,45.6202,7.736,42.88,50.616,0.0,4.995800000000003,0.8024,0.3779,15682.850000000002
典型场景,54,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,8.556000000000001,44.8,53.355999999999995,0.0,7.955999999999996,0.8024,0.3779,15682.85
典型场景,54,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,14.52,46.08,60.599999999999994,0.0,15.840199999999996,0.8024,0.3779,15682.849999999999
典型场景,54,13:00-14:00,14,1,2.6898,41.5,44.1898,6.707999999999999,42.88,49.588,0.0,5.398200000000003,0.8024,0.3779,15682.849999999999
典型场景,54,14:00-15:00,15,1,3.63,41.5,45.13,11.175999999999998,37.12,48.29599999999999,0.0,3.1659999999999897,0.8024,0.3779,15682.85
典型场景,54,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,10.107999999999999,28.8,38.908,6.412199999999999,0.0,0.6074,0.3779,17154.449900000003
典型场景,54,16:00-17:00,17,1,3.75,41.5,45.25,6.3839999999999995,17.92,24.304000000000002,20.945999999999998,0.0,0.6074,0.3779,20489.957000000002
典型场景,54,17:00-18:00,18,0,3.1398,0.0,3.1398,6.428000000000001,5.12,11.548000000000002,0.0,8.4082,0.6074,0.3779,23277.418100000003
典型场景,54,18:00-19:00,19,0,2.61,0.0,2.61,5.736,0.0,5.736,0.0,3.126,0.8024,0.3779,31972.613000000005
典型场景,54,19:00-20:00,20,0,2.1198,0.0,2.1198,3.752,0.0,3.752,0.0,1.6321999999999997,0.8024,0.3779,32606.731099999994
典型场景,54,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,1.8319999999999999,0.8024,0.3779,32521.916
典型场景,54,21:00-22:00,22,0,1.6301999999999999,0.0,1.6301999999999999,4.88,0.0,4.88,0.0,3.2498,0.6074,0.3779,24461.270900000003
典型场景,54,22:00-23:00,23,0,1.56,0.0,1.56,2.5,0.0,2.5,0.0,0.94,0.6074,0.3779,24991.370000000003
典型场景,54,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996
典型场景,45,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,10.904,0.0,10.904,31.965799999999998,0.0,0.3424,0.3779,14548.0641
典型场景,45,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,15.152000000000001,0.0,15.152000000000001,27.4478,0.0,0.3424,0.3779,14708.4531
典型场景,45,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,13.312,0.0,13.312,28.9878,0.0,0.3424,0.3779,14653.7831
典型场景,45,3:00-4:00,4,1,0.99,41.5,42.49,15.072000000000001,0.0,15.072000000000001,27.418,0.0,0.3424,0.3779,14709.510999999999
典型场景,45,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,18.724,0.0,18.724,23.9562,0.0,0.3424,0.3779,14832.404899999998
典型场景,45,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,9.628,1.28,10.908,32.2222,0.0,0.3424,0.3779,14538.961899999998
典型场景,45,6:00-7:00,7,1,2.5002,41.5,44.0002,22.804000000000002,7.68,30.484,13.516199999999998,0.0,0.3424,0.3779,15203.0249
典型场景,45,7:00-8:00,8,0,3.3701999999999996,0.0,3.3701999999999996,17.852,17.92,35.772000000000006,0.0,32.40180000000001,0.6074,0.3779,17770.8869
典型场景,45,8:00-9:00,9,1,4.0098,41.5,45.5098,14.328000000000001,28.8,43.128,2.3817999999999984,0.0,0.6074,0.3779,16229.4731
典型场景,45,9:00-10:00,10,1,4.199999999999999,41.5,45.7,11.904,37.12,49.024,0.0,3.323999999999998,0.6074,0.3779,15682.850000000002
典型场景,45,10:00-11:00,11,1,4.1202,41.5,45.6202,7.736,42.88,50.616,0.0,4.995800000000003,0.8024,0.3779,15682.850000000002
典型场景,45,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,8.556000000000001,44.8,53.355999999999995,0.0,7.955999999999996,0.8024,0.3779,15682.85
典型场景,45,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,14.52,46.08,60.599999999999994,0.0,15.840199999999996,0.8024,0.3779,15682.849999999999
典型场景,45,13:00-14:00,14,1,2.6898,41.5,44.1898,6.707999999999999,42.88,49.588,0.0,5.398200000000003,0.8024,0.3779,15682.849999999999
典型场景,45,14:00-15:00,15,1,3.63,41.5,45.13,11.175999999999998,37.12,48.29599999999999,0.0,3.1659999999999897,0.8024,0.3779,15682.85
典型场景,45,15:00-16:00,16,0,3.8202000000000003,0.0,3.8202000000000003,10.107999999999999,28.8,38.908,0.0,35.0878,0.6074,0.3779,17154.449900000003
典型场景,45,16:00-17:00,17,0,3.75,0.0,3.75,6.3839999999999995,17.92,24.304000000000002,0.0,20.554000000000002,0.6074,0.3779,20489.957000000002
典型场景,45,17:00-18:00,18,0,3.1398,0.0,3.1398,6.428000000000001,5.12,11.548000000000002,0.0,8.4082,0.6074,0.3779,23277.418100000003
典型场景,45,18:00-19:00,19,0,2.61,0.0,2.61,5.736,0.0,5.736,0.0,3.126,0.8024,0.3779,31972.613000000005
典型场景,45,19:00-20:00,20,0,2.1198,0.0,2.1198,3.752,0.0,3.752,0.0,1.6321999999999997,0.8024,0.3779,32606.731099999994
典型场景,45,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,1.8319999999999999,0.8024,0.3779,32521.916
典型场景,45,21:00-22:00,22,0,1.6301999999999999,0.0,1.6301999999999999,4.88,0.0,4.88,0.0,3.2498,0.6074,0.3779,24461.270900000003
典型场景,45,22:00-23:00,23,0,1.56,0.0,1.56,2.5,0.0,2.5,0.0,0.94,0.6074,0.3779,24991.370000000003
典型场景,45,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996
典型场景,36,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,10.904,0.0,10.904,31.965799999999998,0.0,0.3424,0.3779,14548.0641
典型场景,36,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,15.152000000000001,0.0,15.152000000000001,27.4478,0.0,0.3424,0.3779,14708.4531
典型场景,36,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,13.312,0.0,13.312,28.9878,0.0,0.3424,0.3779,14653.7831
典型场景,36,3:00-4:00,4,1,0.99,41.5,42.49,15.072000000000001,0.0,15.072000000000001,27.418,0.0,0.3424,0.3779,14709.510999999999
典型场景,36,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,18.724,0.0,18.724,23.9562,0.0,0.3424,0.3779,14832.404899999998
典型场景,36,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,9.628,1.28,10.908,32.2222,0.0,0.3424,0.3779,14538.961899999998
典型场景,36,6:00-7:00,7,1,2.5002,41.5,44.0002,22.804000000000002,7.68,30.484,13.516199999999998,0.0,0.3424,0.3779,15203.0249
典型场景,36,7:00-8:00,8,0,3.3701999999999996,0.0,3.3701999999999996,17.852,17.92,35.772000000000006,0.0,32.40180000000001,0.6074,0.3779,17770.8869
典型场景,36,8:00-9:00,9,0,4.0098,0.0,4.0098,14.328000000000001,28.8,43.128,0.0,39.1182,0.6074,0.3779,16229.4731
典型场景,36,9:00-10:00,10,0,4.199999999999999,0.0,4.199999999999999,11.904,37.12,49.024,0.0,44.824,0.6074,0.3779,15682.850000000002
典型场景,36,10:00-11:00,11,0,4.1202,0.0,4.1202,7.736,42.88,50.616,0.0,46.4958,0.8024,0.3779,15682.850000000002
典型场景,36,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,8.556000000000001,44.8,53.355999999999995,0.0,7.955999999999996,0.8024,0.3779,15682.85
典型场景,36,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,14.52,46.08,60.599999999999994,0.0,15.840199999999996,0.8024,0.3779,15682.849999999999
典型场景,36,13:00-14:00,14,1,2.6898,41.5,44.1898,6.707999999999999,42.88,49.588,0.0,5.398200000000003,0.8024,0.3779,15682.849999999999
典型场景,36,14:00-15:00,15,1,3.63,41.5,45.13,11.175999999999998,37.12,48.29599999999999,0.0,3.1659999999999897,0.8024,0.3779,15682.85
典型场景,36,15:00-16:00,16,0,3.8202000000000003,0.0,3.8202000000000003,10.107999999999999,28.8,38.908,0.0,35.0878,0.6074,0.3779,17154.449900000003
典型场景,36,16:00-17:00,17,0,3.75,0.0,3.75,6.3839999999999995,17.92,24.304000000000002,0.0,20.554000000000002,0.6074,0.3779,20489.957000000002
典型场景,36,17:00-18:00,18,0,3.1398,0.0,3.1398,6.428000000000001,5.12,11.548000000000002,0.0,8.4082,0.6074,0.3779,23277.418100000003
典型场景,36,18:00-19:00,19,0,2.61,0.0,2.61,5.736,0.0,5.736,0.0,3.126,0.8024,0.3779,31972.613000000005
典型场景,36,19:00-20:00,20,0,2.1198,0.0,2.1198,3.752,0.0,3.752,0.0,1.6321999999999997,0.8024,0.3779,32606.731099999994
典型场景,36,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,1.8319999999999999,0.8024,0.3779,32521.916
典型场景,36,21:00-22:00,22,0,1.6301999999999999,0.0,1.6301999999999999,4.88,0.0,4.88,0.0,3.2498,0.6074,0.3779,24461.270900000003
典型场景,36,22:00-23:00,23,0,1.56,0.0,1.56,2.5,0.0,2.5,0.0,0.94,0.6074,0.3779,24991.370000000003
典型场景,36,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996
