场景,日氨产量(t/day),最大逐时功率平衡残差(MW),产量约束残差(t/day),购售电同时发生最大值(MW2),氢气平衡残差(kgH2/h),合成氨耗电残差(MW),MILP与排序成本差(¥/day)
风电2-光伏2,45,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏2,36,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏3,72,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏3,63,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏3,54,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏3,45,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏3,36,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏4,72,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏4,63,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏4,54,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏4,45,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电2-光伏4,36,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电3-光伏1,72,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏1,63,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏1,54,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏1,45,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏1,36,0.0,0.0,0.0,0.0,0.0,2.9103830456733704e-11
风电3-光伏2,72,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏2,63,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏2,54,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏2,45,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏2,36,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏3,72,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏3,63,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏3,54,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏3,45,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏3,36,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏4,72,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏4,63,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏4,54,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏4,45,0.0,0.0,0.0,0.0,0.0,0.0
风电3-光伏4,36,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏1,72,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏1,63,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏1,54,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏1,45,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏1,36,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏2,72,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏2,63,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏2,54,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏2,45,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏2,36,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏3,72,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏3,63,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏3,54,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏3,45,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏3,36,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏4,72,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏4,63,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏4,54,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏4,45,0.0,0.0,0.0,0.0,0.0,0.0
风电4-光伏4,36,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏1,72,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏1,63,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏1,54,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏1,45,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏1,36,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏2,72,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏2,63,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏2,54,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏2,45,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏2,36,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏3,72,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电5-光伏3,63,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电5-光伏3,54,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电5-光伏3,45,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电5-光伏3,36,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏4,72,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏4,63,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏4,54,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏4,45,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏4,36,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏1,72,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏1,63,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏1,54,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏1,45,0.0,0.0,0.0,0.0,0.0,2.9103830456733704e-11
风电6-光伏1,36,0.0,0.0,0.0,0.0,0.0,5.820766091346741e-11
风电6-光伏2,72,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏2,63,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏2,54,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏2,45,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏2,36,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏3,72,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电6-光伏3,63,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电6-光伏3,54,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电6-光伏3,45,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电6-光伏3,36,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电6-光伏4,72,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
风电6-光伏4,63,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏4,54,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏4,45,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏4,36,0.0,0.0,0.0,0.0,0.0,0.0
