场景,日氨产量(t/day),时段,时段序号(h),设备状态,常规负荷功率(MW),生产负荷功率(MW),总负荷功率(MW),风电功率(MW),光伏功率(MW),风光总出力(MW),购电功率(MW),售电功率(MW),购电电价(¥/kWh),售电电价(¥/kWh),开机边际电网成本(¥/h),风电场景,光伏场景
风电1-光伏1,72,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,8.556000000000001,56.32,64.876,0.0,20.116200000000006,0.8024,0.3779,15682.85,1,1
风电1-光伏1,72,13:00-14:00,14,1,2.6898,41.5,44.1898,14.52,56.32,70.84,0.0,26.650200000000005,0.8024,0.3779,15682.85,1,1
风电1-光伏1,72,14:00-15:00,15,1,3.63,41.5,45.13,6.707999999999999,52.48,59.187999999999995,0.0,14.057999999999993,0.8024,0.3779,15682.849999999999,1,1
风电1-光伏1,72,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,11.175999999999998,44.8,55.976,0.0,10.6558,0.6074,0.3779,15682.85,1,1
风电1-光伏1,72,16:00-17:00,17,1,3.75,41.5,45.25,10.107999999999999,33.28,43.388,1.8620000000000019,0.0,0.6074,0.3779,16110.179,1,1
风电1-光伏1,72,17:00-18:00,18,1,3.1398,41.5,44.6398,6.3839999999999995,24.32,30.704,13.9358,0.0,0.6074,0.3779,18881.116100000003,1,1
风电1-光伏1,72,18:00-19:00,19,1,2.61,41.5,44.11,6.428000000000001,11.52,17.948,26.162,0.0,0.8024,0.3779,26788.619000000002,1,1
风电1-光伏1,72,19:00-20:00,20,1,2.1198,41.5,43.6198,5.736,0.0,5.736,37.8838,0.0,0.8024,0.3779,31764.5231,1,1
风电1-光伏1,72,20:00-21:00,21,1,1.8599999999999999,41.5,43.36,3.752,0.0,3.752,39.608,0.0,0.8024,0.3779,32496.445999999996,1,1
风电1-光伏1,72,21:00-22:00,22,1,1.6301999999999999,41.5,43.1302,3.6919999999999997,0.0,3.6919999999999997,39.4382,0.0,0.6074,0.3779,24733.916900000004,1,1
风电1-光伏1,72,22:00-23:00,23,1,1.56,41.5,43.06,4.88,0.0,4.88,38.18,0.0,0.6074,0.3779,24445.16,1,1
风电1-光伏1,72,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996,1,1
风电1-光伏1,63,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,9.776,0.0,9.776,33.0938,0.0,0.3424,0.3779,14508.0201,1,1
风电1-光伏1,63,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,10.904,0.0,10.904,31.695800000000002,0.0,0.3424,0.3779,14557.6491,1,1
风电1-光伏1,63,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,15.152000000000001,0.0,15.152000000000001,27.147799999999997,0.0,0.3424,0.3779,14719.1031,1,1
风电1-光伏1,63,3:00-4:00,4,1,0.99,41.5,42.49,13.312,0.0,13.312,29.178000000000004,0.0,0.3424,0.3779,14647.031,1,1
风电1-光伏1,63,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,15.072000000000001,0.0,15.072000000000001,27.608199999999997,0.0,0.3424,0.3779,14702.7589,1,1
风电1-光伏1,63,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,18.724,0.0,18.724,24.406200000000002,0.0,0.3424,0.3779,14816.429900000001,1,1
风电1-光伏1,63,6:00-7:00,7,1,2.5002,41.5,44.0002,9.628,14.08,23.708,20.2922,0.0,0.3424,0.3779,14962.4769,1,1
风电1-光伏1,63,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,22.804000000000002,25.6,48.404,0.0,3.5338000000000065,0.6074,0.3779,15682.849999999999,1,1
风电1-光伏1,63,8:00-9:00,9,1,4.0098,41.5,45.5098,17.852,37.12,54.971999999999994,0.0,9.462199999999996,0.6074,0.3779,15682.85,1,1
风电1-光伏1,63,9:00-10:00,10,1,4.199999999999999,41.5,45.7,14.328000000000001,46.08,60.408,0.0,14.707999999999998,0.6074,0.3779,15682.850000000002,1,1
风电1-光伏1,63,10:00-11:00,11,1,4.1202,41.5,45.6202,11.904,52.48,64.384,0.0,18.763800000000003,0.8024,0.3779,15682.85,1,1
风电1-光伏1,63,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,7.736,55.04,62.775999999999996,0.0,17.375999999999998,0.8024,0.3779,15682.850000000002,1,1
风电1-光伏1,63,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,8.556000000000001,56.32,64.876,0.0,20.116200000000006,0.8024,0.3779,15682.85,1,1
风电1-光伏1,63,13:00-14:00,14,1,2.6898,41.5,44.1898,14.52,56.32,70.84,0.0,26.650200000000005,0.8024,0.3779,15682.85,1,1
风电1-光伏1,63,14:00-15:00,15,1,3.63,41.5,45.13,6.707999999999999,52.48,59.187999999999995,0.0,14.057999999999993,0.8024,0.3779,15682.849999999999,1,1
风电1-光伏1,63,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,11.175999999999998,44.8,55.976,0.0,10.6558,0.6074,0.3779,15682.85,1,1
风电1-光伏1,63,16:00-17:00,17,1,3.75,41.5,45.25,10.107999999999999,33.28,43.388,1.8620000000000019,0.0,0.6074,0.3779,16110.179,1,1
风电1-光伏1,63,17:00-18:00,18,1,3.1398,41.5,44.6398,6.3839999999999995,24.32,30.704,13.9358,0.0,0.6074,0.3779,18881.116100000003,1,1
风电1-光伏1,63,18:00-19:00,19,0,2.61,0.0,2.61,6.428000000000001,11.52,17.948,0.0,15.338000000000001,0.8024,0.3779,26788.619000000002,1,1
风电1-光伏1,63,19:00-20:00,20,0,2.1198,0.0,2.1198,5.736,0.0,5.736,0.0,3.6161999999999996,0.8024,0.3779,31764.5231,1,1
风电1-光伏1,63,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.752,0.0,3.752,0.0,1.892,0.8024,0.3779,32496.445999999996,1,1
风电1-光伏1,63,21:00-22:00,22,1,1.6301999999999999,41.5,43.1302,3.6919999999999997,0.0,3.6919999999999997,39.4382,0.0,0.6074,0.3779,24733.916900000004,1,1
风电1-光伏1,63,22:00-23:00,23,1,1.56,41.5,43.06,4.88,0.0,4.88,38.18,0.0,0.6074,0.3779,24445.16,1,1
风电1-光伏1,63,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996,1,1
风电1-光伏1,54,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,9.776,0.0,9.776,33.0938,0.0,0.3424,0.3779,14508.0201,1,1
风电1-光伏1,54,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,10.904,0.0,10.904,31.695800000000002,0.0,0.3424,0.3779,14557.6491,1,1
风电1-光伏1,54,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,15.152000000000001,0.0,15.152000000000001,27.147799999999997,0.0,0.3424,0.3779,14719.1031,1,1
风电1-光伏1,54,3:00-4:00,4,1,0.99,41.5,42.49,13.312,0.0,13.312,29.178000000000004,0.0,0.3424,0.3779,14647.031,1,1
风电1-光伏1,54,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,15.072000000000001,0.0,15.072000000000001,27.608199999999997,0.0,0.3424,0.3779,14702.7589,1,1
风电1-光伏1,54,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,18.724,0.0,18.724,24.406200000000002,0.0,0.3424,0.3779,14816.429900000001,1,1
风电1-光伏1,54,6:00-7:00,7,1,2.5002,41.5,44.0002,9.628,14.08,23.708,20.2922,0.0,0.3424,0.3779,14962.4769,1,1
风电1-光伏1,54,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,22.804000000000002,25.6,48.404,0.0,3.5338000000000065,0.6074,0.3779,15682.849999999999,1,1
风电1-光伏1,54,8:00-9:00,9,1,4.0098,41.5,45.5098,17.852,37.12,54.971999999999994,0.0,9.462199999999996,0.6074,0.3779,15682.85,1,1
风电1-光伏1,54,9:00-10:00,10,1,4.199999999999999,41.5,45.7,14.328000000000001,46.08,60.408,0.0,14.707999999999998,0.6074,0.3779,15682.850000000002,1,1
风电1-光伏1,54,10:00-11:00,11,1,4.1202,41.5,45.6202,11.904,52.48,64.384,0.0,18.763800000000003,0.8024,0.3779,15682.85,1,1
风电1-光伏1,54,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,7.736,55.04,62.775999999999996,0.0,17.375999999999998,0.8024,0.3779,15682.850000000002,1,1
风电1-光伏1,54,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,8.556000000000001,56.32,64.876,0.0,20.116200000000006,0.8024,0.3779,15682.85,1,1
风电1-光伏1,54,13:00-14:00,14,1,2.6898,41.5,44.1898,14.52,56.32,70.84,0.0,26.650200000000005,0.8024,0.3779,15682.85,1,1
风电1-光伏1,54,14:00-15:00,15,1,3.63,41.5,45.13,6.707999999999999,52.48,59.187999999999995,0.0,14.057999999999993,0.8024,0.3779,15682.849999999999,1,1
风电1-光伏1,54,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,11.175999999999998,44.8,55.976,0.0,10.6558,0.6074,0.3779,15682.85,1,1
风电1-光伏1,54,16:00-17:00,17,1,3.75,41.5,45.25,10.107999999999999,33.28,43.388,1.8620000000000019,0.0,0.6074,0.3779,16110.179,1,1
风电1-光伏1,54,17:00-18:00,18,0,3.1398,0.0,3.1398,6.3839999999999995,24.32,30.704,0.0,27.5642,0.6074,0.3779,18881.116100000003,1,1
风电1-光伏1,54,18:00-19:00,19,0,2.61,0.0,2.61,6.428000000000001,11.52,17.948,0.0,15.338000000000001,0.8024,0.3779,26788.619000000002,1,1
风电1-光伏1,54,19:00-20:00,20,0,2.1198,0.0,2.1198,5.736,0.0,5.736,0.0,3.6161999999999996,0.8024,0.3779,31764.5231,1,1
风电1-光伏1,54,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.752,0.0,3.752,0.0,1.892,0.8024,0.3779,32496.445999999996,1,1
风电1-光伏1,54,21:00-22:00,22,0,1.6301999999999999,0.0,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,2.0618,0.6074,0.3779,24733.916900000004,1,1
风电1-光伏1,54,22:00-23:00,23,0,1.56,0.0,1.56,4.88,0.0,4.88,0.0,3.32,0.6074,0.3779,24445.16,1,1
风电1-光伏1,54,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996,1,1
风电1-光伏1,45,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,9.776,0.0,9.776,33.0938,0.0,0.3424,0.3779,14508.0201,1,1
风电1-光伏1,45,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,10.904,0.0,10.904,31.695800000000002,0.0,0.3424,0.3779,14557.6491,1,1
风电1-光伏1,45,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,15.152000000000001,0.0,15.152000000000001,27.147799999999997,0.0,0.3424,0.3779,14719.1031,1,1
风电1-光伏1,45,3:00-4:00,4,1,0.99,41.5,42.49,13.312,0.0,13.312,29.178000000000004,0.0,0.3424,0.3779,14647.031,1,1
风电1-光伏1,45,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,15.072000000000001,0.0,15.072000000000001,27.608199999999997,0.0,0.3424,0.3779,14702.7589,1,1
风电1-光伏1,45,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,18.724,0.0,18.724,24.406200000000002,0.0,0.3424,0.3779,14816.429900000001,1,1
风电1-光伏1,45,6:00-7:00,7,1,2.5002,41.5,44.0002,9.628,14.08,23.708,20.2922,0.0,0.3424,0.3779,14962.4769,1,1
风电1-光伏1,45,7:00-8:00,8,0,3.3701999999999996,0.0,3.3701999999999996,22.804000000000002,25.6,48.404,0.0,45.03380000000001,0.6074,0.3779,15682.849999999999,1,1
风电1-光伏1,45,8:00-9:00,9,0,4.0098,0.0,4.0098,17.852,37.12,54.971999999999994,0.0,50.962199999999996,0.6074,0.3779,15682.85,1,1
风电1-光伏1,45,9:00-10:00,10,1,4.199999999999999,41.5,45.7,14.328000000000001,46.08,60.408,0.0,14.707999999999998,0.6074,0.3779,15682.850000000002,1,1
风电1-光伏1,45,10:00-11:00,11,1,4.1202,41.5,45.6202,11.904,52.48,64.384,0.0,18.763800000000003,0.8024,0.3779,15682.85,1,1
风电1-光伏1,45,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,7.736,55.04,62.775999999999996,0.0,17.375999999999998,0.8024,0.3779,15682.850000000002,1,1
风电1-光伏1,45,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,8.556000000000001,56.32,64.876,0.0,20.116200000000006,0.8024,0.3779,15682.85,1,1
风电1-光伏1,45,13:00-14:00,14,1,2.6898,41.5,44.1898,14.52,56.32,70.84,0.0,26.650200000000005,0.8024,0.3779,15682.85,1,1
风电1-光伏1,45,14:00-15:00,15,1,3.63,41.5,45.13,6.707999999999999,52.48,59.187999999999995,0.0,14.057999999999993,0.8024,0.3779,15682.849999999999,1,1
风电1-光伏1,45,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,11.175999999999998,44.8,55.976,0.0,10.6558,0.6074,0.3779,15682.85,1,1
风电1-光伏1,45,16:00-17:00,17,0,3.75,0.0,3.75,10.107999999999999,33.28,43.388,0.0,39.638,0.6074,0.3779,16110.179,1,1
风电1-光伏1,45,17:00-18:00,18,0,3.1398,0.0,3.1398,6.3839999999999995,24.32,30.704,0.0,27.5642,0.6074,0.3779,18881.116100000003,1,1
风电1-光伏1,45,18:00-19:00,19,0,2.61,0.0,2.61,6.428000000000001,11.52,17.948,0.0,15.338000000000001,0.8024,0.3779,26788.619000000002,1,1
风电1-光伏1,45,19:00-20:00,20,0,2.1198,0.0,2.1198,5.736,0.0,5.736,0.0,3.6161999999999996,0.8024,0.3779,31764.5231,1,1
风电1-光伏1,45,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.752,0.0,3.752,0.0,1.892,0.8024,0.3779,32496.445999999996,1,1
风电1-光伏1,45,21:00-22:00,22,0,1.6301999999999999,0.0,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,2.0618,0.6074,0.3779,24733.916900000004,1,1
风电1-光伏1,45,22:00-23:00,23,0,1.56,0.0,1.56,4.88,0.0,4.88,0.0,3.32,0.6074,0.3779,24445.16,1,1
风电1-光伏1,45,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996,1,1
风电1-光伏1,36,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,9.776,0.0,9.776,33.0938,0.0,0.3424,0.3779,14508.0201,1,1
风电1-光伏1,36,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,10.904,0.0,10.904,31.695800000000002,0.0,0.3424,0.3779,14557.6491,1,1
风电1-光伏1,36,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,15.152000000000001,0.0,15.152000000000001,27.147799999999997,0.0,0.3424,0.3779,14719.1031,1,1
风电1-光伏1,36,3:00-4:00,4,1,0.99,41.5,42.49,13.312,0.0,13.312,29.178000000000004,0.0,0.3424,0.3779,14647.031,1,1
风电1-光伏1,36,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,15.072000000000001,0.0,15.072000000000001,27.608199999999997,0.0,0.3424,0.3779,14702.7589,1,1
风电1-光伏1,36,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,18.724,0.0,18.724,24.406200000000002,0.0,0.3424,0.3779,14816.429900000001,1,1
风电1-光伏1,36,6:00-7:00,7,1,2.5002,41.5,44.0002,9.628,14.08,23.708,20.2922,0.0,0.3424,0.3779,14962.4769,1,1
风电1-光伏1,36,7:00-8:00,8,0,3.3701999999999996,0.0,3.3701999999999996,22.804000000000002,25.6,48.404,0.0,45.03380000000001,0.6074,0.3779,15682.849999999999,1,1
风电1-光伏1,36,8:00-9:00,9,0,4.0098,0.0,4.0098,17.852,37.12,54.971999999999994,0.0,50.962199999999996,0.6074,0.3779,15682.85,1,1
风电1-光伏1,36,9:00-10:00,10,0,4.199999999999999,0.0,4.199999999999999,14.328000000000001,46.08,60.408,0.0,56.208,0.6074,0.3779,15682.850000000002,1,1
风电1-光伏1,36,10:00-11:00,11,0,4.1202,0.0,4.1202,11.904,52.48,64.384,0.0,60.2638,0.8024,0.3779,15682.85,1,1
风电1-光伏1,36,11:00-12:00,12,0,3.9000000000000004,0.0,3.9000000000000004,7.736,55.04,62.775999999999996,0.0,58.876,0.8024,0.3779,15682.850000000002,1,1
风电1-光伏1,36,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,8.556000000000001,56.32,64.876,0.0,20.116200000000006,0.8024,0.3779,15682.85,1,1
风电1-光伏1,36,13:00-14:00,14,1,2.6898,41.5,44.1898,14.52,56.32,70.84,0.0,26.650200000000005,0.8024,0.3779,15682.85,1,1
风电1-光伏1,36,14:00-15:00,15,1,3.63,41.5,45.13,6.707999999999999,52.48,59.187999999999995,0.0,14.057999999999993,0.8024,0.3779,15682.849999999999,1,1
风电1-光伏1,36,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,11.175999999999998,44.8,55.976,0.0,10.6558,0.6074,0.3779,15682.85,1,1
风电1-光伏1,36,16:00-17:00,17,0,3.75,0.0,3.75,10.107999999999999,33.28,43.388,0.0,39.638,0.6074,0.3779,16110.179,1,1
风电1-光伏1,36,17:00-18:00,18,0,3.1398,0.0,3.1398,6.3839999999999995,24.32,30.704,0.0,27.5642,0.6074,0.3779,18881.116100000003,1,1
风电1-光伏1,36,18:00-19:00,19,0,2.61,0.0,2.61,6.428000000000001,11.52,17.948,0.0,15.338000000000001,0.8024,0.3779,26788.619000000002,1,1
风电1-光伏1,36,19:00-20:00,20,0,2.1198,0.0,2.1198,5.736,0.0,5.736,0.0,3.6161999999999996,0.8024,0.3779,31764.5231,1,1
风电1-光伏1,36,20:00-21:00,21,0,1.8599999999999999,0.0,1.8599999999999999,3.752,0.0,3.752,0.0,1.892,0.8024,0.3779,32496.445999999996,1,1
风电1-光伏1,36,21:00-22:00,22,0,1.6301999999999999,0.0,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,2.0618,0.6074,0.3779,24733.916900000004,1,1
风电1-光伏1,36,22:00-23:00,23,0,1.56,0.0,1.56,4.88,0.0,4.88,0.0,3.32,0.6074,0.3779,24445.16,1,1
风电1-光伏1,36,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996,1,1
风电1-光伏2,72,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,9.776,0.0,9.776,33.0938,0.0,0.3424,0.3779,14508.0201,1,2
风电1-光伏2,72,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,10.904,0.0,10.904,31.695800000000002,0.0,0.3424,0.3779,14557.6491,1,2
风电1-光伏2,72,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,15.152000000000001,0.0,15.152000000000001,27.147799999999997,0.0,0.3424,0.3779,14719.1031,1,2
风电1-光伏2,72,3:00-4:00,4,1,0.99,41.5,42.49,13.312,0.0,13.312,29.178000000000004,0.0,0.3424,0.3779,14647.031,1,2
风电1-光伏2,72,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,15.072000000000001,0.0,15.072000000000001,27.608199999999997,0.0,0.3424,0.3779,14702.7589,1,2
风电1-光伏2,72,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,18.724,0.0,18.724,24.406200000000002,0.0,0.3424,0.3779,14816.429900000001,1,2
风电1-光伏2,72,6:00-7:00,7,1,2.5002,41.5,44.0002,9.628,0.0,9.628,34.3722,0.0,0.3424,0.3779,14462.6369,1,2
风电1-光伏2,72,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,22.804000000000002,3.2,26.004,18.866199999999996,0.0,0.6074,0.3779,20012.6429,1,2
风电1-光伏2,72,8:00-9:00,9,1,4.0098,41.5,45.5098,17.852,10.88,28.732,16.7778,0.0,0.6074,0.3779,19533.3551,1,2
风电1-光伏2,72,9:00-10:00,10,1,4.199999999999999,41.5,45.7,14.328000000000001,17.92,32.248000000000005,13.451999999999998,0.0,0.6074,0.3779,18770.084000000003,1,2
风电1-光伏2,72,10:00-11:00,11,1,4.1202,41.5,45.6202,11.904,24.96,36.864000000000004,8.756199999999993,0.0,0.8024,0.3779,19399.8569,1,2
风电1-光伏2,72,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,7.736,31.36,39.096,6.304000000000002,0.0,0.8024,0.3779,18358.898,1,2
风电1-光伏2,72,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,8.556000000000001,35.84,44.396,0.3637999999999977,0.0,0.8024,0.3779,15837.283099999999,1,2
风电1-光伏2,72,13:00-14:00,14,1,2.6898,41.5,44.1898,14.52,37.12,51.64,0.0,7.450200000000002,0.8024,0.3779,15682.850000000002,1,2
风电1-光伏2,72,14:00-15:00,15,1,3.63,41.5,45.13,6.707999999999999,32.0,38.708,6.422000000000004,0.0,0.8024,0.3779,18408.989,1,2
风电1-光伏2,72,15:00-16:00,16,1,3.8202000000000003,41.5,45.3202,11.175999999999998,25.6,36.775999999999996,8.544200000000004,0.0,0.6074,0.3779,17643.7439,1,2
风电1-光伏2,72,16:00-17:00,17,1,3.75,41.5,45.25,10.107999999999999,19.2,29.308,15.942,0.0,0.6074,0.3779,19341.539000000004,1,2
风电1-光伏2,72,17:00-18:00,18,1,3.1398,41.5,44.6398,6.3839999999999995,9.6,15.983999999999998,28.655800000000003,0.0,0.6074,0.3779,22259.3561,1,2
风电1-光伏2,72,18:00-19:00,19,1,2.61,41.5,44.11,6.428000000000001,3.2,9.628,34.482,0.0,0.8024,0.3779,30320.459,1,2
风电1-光伏2,72,19:00-20:00,20,1,2.1198,41.5,43.6198,5.736,0.0,5.736,37.8838,0.0,0.8024,0.3779,31764.5231,1,2
风电1-光伏2,72,20:00-21:00,21,1,1.8599999999999999,41.5,43.36,3.752,0.0,3.752,39.608,0.0,0.8024,0.3779,32496.445999999996,1,2
风电1-光伏2,72,21:00-22:00,22,1,1.6301999999999999,41.5,43.1302,3.6919999999999997,0.0,3.6919999999999997,39.4382,0.0,0.6074,0.3779,24733.916900000004,1,2
风电1-光伏2,72,22:00-23:00,23,1,1.56,41.5,43.06,4.88,0.0,4.88,38.18,0.0,0.6074,0.3779,24445.16,1,2
风电1-光伏2,72,23:00-24:00,24,1,1.4802,41.5,42.980199999999996,3.1919999999999997,0.0,3.1919999999999997,39.788199999999996,0.0,0.3424,0.3779,14270.368899999996,1,2
风电1-光伏2,63,0:00-1:00,1,1,1.3698000000000001,41.5,42.8698,9.776,0.0,9.776,33.0938,0.0,0.3424,0.3779,14508.0201,1,2
风电1-光伏2,63,1:00-2:00,2,1,1.0997999999999999,41.5,42.5998,10.904,0.0,10.904,31.695800000000002,0.0,0.3424,0.3779,14557.6491,1,2
风电1-光伏2,63,2:00-3:00,3,1,0.7998000000000001,41.5,42.2998,15.152000000000001,0.0,15.152000000000001,27.147799999999997,0.0,0.3424,0.3779,14719.1031,1,2
风电1-光伏2,63,3:00-4:00,4,1,0.99,41.5,42.49,13.312,0.0,13.312,29.178000000000004,0.0,0.3424,0.3779,14647.031,1,2
风电1-光伏2,63,4:00-5:00,5,1,1.1802000000000001,41.5,42.6802,15.072000000000001,0.0,15.072000000000001,27.608199999999997,0.0,0.3424,0.3779,14702.7589,1,2
风电1-光伏2,63,5:00-6:00,6,1,1.6301999999999999,41.5,43.1302,18.724,0.0,18.724,24.406200000000002,0.0,0.3424,0.3779,14816.429900000001,1,2
风电1-光伏2,63,6:00-7:00,7,1,2.5002,41.5,44.0002,9.628,0.0,9.628,34.3722,0.0,0.3424,0.3779,14462.6369,1,2
风电1-光伏2,63,7:00-8:00,8,1,3.3701999999999996,41.5,44.8702,22.804000000000002,3.2,26.004,18.866199999999996,0.0,0.6074,0.3779,20012.6429,1,2
风电1-光伏2,63,8:00-9:00,9,1,4.0098,41.5,45.5098,17.852,10.88,28.732,16.7778,0.0,0.6074,0.3779,19533.3551,1,2
风电1-光伏2,63,9:00-10:00,10,1,4.199999999999999,41.5,45.7,14.328000000000001,17.92,32.248000000000005,13.451999999999998,0.0,0.6074,0.3779,18770.084000000003,1,2
风电1-光伏2,63,10:00-11:00,11,1,4.1202,41.5,45.6202,11.904,24.96,36.864000000000004,8.756199999999993,0.0,0.8024,0.3779,19399.8569,1,2
风电1-光伏2,63,11:00-12:00,12,1,3.9000000000000004,41.5,45.4,7.736,31.36,39.096,6.304000000000002,0.0,0.8024,0.3779,18358.898,1,2
风电1-光伏2,63,12:00-13:00,13,1,3.2598000000000003,41.5,44.7598,8.556000000000001,35.84,44.396,0.3637999999999977,0.0,0.8024,0.3779,15837.283099999999,1,2
风电1-光伏2,63,13:00-14:00,14,1,2.6898,41.5,44.1898,14.52,37.12,51.64,0.0,7.450200000000002,0.8024,0.3779,15682.850000000002,1,2
风电1-光伏2,63,14:00-15:00,15,1,3.63,41.5,45.13,6.707999999999999,32.0,38.708,6.422000000000004,0.0,0.8024,0.3779,18408.989,1,2
