场景,日氨产量(t/day),开机时间(h),设备利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),合成氨装置利用率(%),最优生产时段,常规负荷电量(MWh),生产负荷电量(MWh),总负荷电量(MWh),风电电量(MWh),光伏电量(MWh),新能源发电量(MWh),购电量(MWh),售电量(MWh),新能源自发自用比例(%),新能源供电占比(%),上网电量比例(%),新能源自发自用比例达标,新能源供电占比达标,上网电量比例达标,达标指标数,达标状态,风电发电成本(¥/day),光伏发电成本(¥/day),购电成本(¥/day),售电收入(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),日净成本(¥/day),净吨氨成本(¥/t),求解器,求解状态,MIP间隙,MIP节点数,风电场景,光伏场景
风电1-光伏3,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,252.324,85.12,337.44399999999996,605.3822,10.6062,93.7138014011214,35.06015747355774,3.143099299439315,是,是,是,3,全部达标,37848.6,10214.400000000001,324952.42628,4008.08298,42000.0,63000.0,63.0,3287.671232876712,477358.0145328767,7577.111341791694,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,3
风电1-光伏3,54,18,75.0,75.0,75.0,75.0,00:00-10:00、12:00-14:00、15:00-18:00、21:00-24:00,60.72,747.0,807.72,252.324,85.12,337.44399999999996,526.3,56.024,66.79508303600008,34.841281632248794,16.602458481999978,是,是,是,3,全部达标,37848.6,10214.400000000001,261496.869,21171.469600000004,36000.0,54000.0,54.0,3287.671232876712,381730.0706328767,7069.075382090309,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,3
风电1-光伏3,45,15,62.5,62.5,62.5,62.5,00:00-10:00、13:00-14:00、15:00-18:00、23:00-24:00,60.72,622.5,683.22,252.324,85.12,337.44399999999996,426.558,80.78200000000001,52.12124085774232,37.56652322824272,23.939379571128846,否,是,否,1,部分达标,37848.6,10214.400000000001,196599.4372,30527.517800000005,30000.0,45000.0,45.0,3287.671232876712,292467.59063287673,6499.279791841705,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,3
风电1-光伏3,36,12,50.0,50.0,50.0,50.0,00:00-10:00、15:00-16:00、23:00-24:00,60.72,498.0,558.72,252.324,85.12,337.44399999999996,345.8904,124.61439999999999,26.142174701580128,38.092353951890026,36.92891264920994,否,是,否,1,部分达标,37848.6,10214.400000000001,144561.92596,47091.78176,24000.0,36000.0,36.0,3287.671232876712,208856.8154328767,5801.578206468797,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,3
风电1-光伏4,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,252.324,20.480000000000004,272.804,783.9159999999999,0.0,99.99999999999996,25.81611022787494,0.0,是,否,是,2,部分达标,37848.6,2457.6000000000004,463590.3474,0.0,48000.0,72000.0,72.0,3287.671232876712,627256.2186328768,8711.89192545662,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,1,4
风电1-光伏4,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,252.324,20.480000000000004,272.804,668.7422,9.3262,93.16271022419028,28.263478578018063,3.4186448879048696,是,否,是,2,部分达标,37848.6,2457.6000000000004,371174.89028,3524.37098,42000.0,63000.0,63.0,3287.671232876712,516307.3905328767,8195.355405283757,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,4
风电1-光伏4,54,18,75.0,75.0,75.0,75.0,00:00-10:00、12:00-14:00、15:00-18:00、21:00-24:00,60.72,747.0,807.72,252.324,20.480000000000004,272.804,565.34,30.424,77.69534171053212,30.00792353785965,11.15232914473395,是,是,是,3,全部达标,37848.6,2457.6000000000004,288204.965,11497.2296,36000.0,54000.0,54.0,3287.671232876712,410355.60663287673,7599.177900608828,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,4
风电1-光伏4,45,15,62.5,62.5,62.5,62.5,00:00-10:00、15:00-18:00、22:00-24:00,60.72,622.5,683.22,252.324,20.480000000000004,272.804,472.82820000000004,62.4122,54.24392604214015,30.79415122508123,22.87803697892993,否,是,否,1,部分达标,37848.6,2457.6000000000004,221663.94567999998,23585.57038,30000.0,45000.0,45.0,3287.671232876712,316717.2465328767,7038.161034063926,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,4
风电1-光伏4,36,12,50.0,50.0,50.0,50.0,00:00-10:00、15:00-16:00、23:00-24:00,60.72,498.0,558.72,252.324,20.480000000000004,272.804,361.2504,75.33439999999999,44.7703112857583,35.34321305841924,27.61484435712086,否,是,否,1,部分达标,37848.6,2457.6000000000004,153891.58995999998,28468.869759999998,24000.0,36000.0,36.0,3287.671232876712,229052.59143287668,6362.571984246574,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1,4
风电2-光伏1,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,149.464,509.44000000000005,658.904,487.42799999999994,89.61199999999998,72.79967946772214,53.87349534408359,13.60016026613892,是,是,是,3,全部达标,22419.6,61132.8,247139.61519999997,33864.3748,48000.0,72000.0,72.0,3287.671232876712,420187.3116328767,5835.934883789954,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,1
风电2-光伏1,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,149.464,509.44000000000005,658.904,380.75019999999995,107.43419999999998,67.39002950353924,59.15661539121667,16.30498524823039,是,是,是,3,全部达标,22419.6,61132.8,161541.34848000002,40599.384179999994,42000.0,63000.0,63.0,3287.671232876712,312845.03553287673,4965.794214807567,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,1
风电2-光伏1,54,18,75.0,75.0,75.0,75.0,00:00-17:00、23:00-24:00,60.72,747.0,807.7199999999999,149.464,509.44000000000005,658.904,284.6024,135.7864,58.784162791544745,64.7647204476799,20.607918604227624,否,是,否,1,部分达标,22419.6,61132.8,103141.17476,51313.68056,36000.0,54000.0,54.0,3287.671232876712,228721.5654328767,4235.584545053272,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,1
风电2-光伏1,45,15,62.5,62.5,62.5,62.5,00:00-07:00、09:00-16:00、23:00-24:00,60.72,622.5,683.22,149.464,509.44000000000005,658.904,263.2564,238.94039999999998,27.473380037152616,61.468282544422,36.263309981423696,否,是,否,1,部分达标,22419.6,61132.8,90175.61435999999,90295.57716,30000.0,45000.0,45.0,3287.671232876712,161765.1084328767,3594.78018739726,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.4260712868265546e-13,1,2,1
风电2-光伏1,36,12,50.0,50.0,50.0,50.0,00:00-07:00、12:00-16:00、23:00-24:00,60.72,498.0,558.72,149.464,509.44000000000005,658.904,263.2564,363.44039999999995,-10.31664703811176,52.88223081328752,55.158323519055884,否,是,否,1,部分达标,22419.6,61132.8,90175.61435999999,137344.12716,24000.0,36000.0,36.0,3287.671232876712,99707.55843287669,2769.6544009132413,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.079781834870231e-15,1,2,1
风电2-光伏2,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,149.464,250.88,400.34400000000005,656.376,0.0,99.99999999999994,37.88553259141496,0.0,是,是,是,3,全部达标,22419.6,30105.6,354449.83139999997,0.0,48000.0,72000.0,72.0,3287.671232876712,530334.7026328767,7365.7597587899545,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,2
风电2-光伏2,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,149.464,250.88,400.34400000000005,541.3782,9.5022,95.2529824351058,41.925918774538204,2.3735087824470953,是,是,是,3,全部达标,22419.6,30105.6,262175.59668,3590.8813800000003,42000.0,63000.0,63.0,3287.671232876712,419460.58653287677,6658.104548140901,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,2
风电2-光伏2,54,18,75.0,75.0,75.0,75.0,00:00-07:00、08:00-18:00、23:00-24:00,60.72,747.0,807.72,149.464,250.88,400.34400000000005,424.91200000000003,17.536,91.23953400075932,47.393651265289954,4.3802329996203255,是,是,是,3,全部达标,22419.6,30105.6,191434.0268,6626.854400000001,36000.0,54000.0,54.0,3287.671232876712,330674.0436328767,6123.593400608828,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,2
风电2-光伏2,45,15,62.5,62.5,62.5,62.5,00:00-07:00、09:00-10:00、11:00-17:00、23:00-24:00,60.72,622.5,683.22,149.464,250.88,400.34400000000005,351.27419999999995,68.3982,65.8302859540795,48.58549222797928,17.084857022960254,是,是,是,3,全部达标,22419.6,30105.6,143718.20807999998,25847.679780000002,30000.0,45000.0,45.0,3287.671232876712,248728.39953287668,5527.297767397259,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,2
风电2-光伏2,36,12,50.0,50.0,50.0,50.0,00:00-07:00、12:00-16:00、23:00-24:00,60.72,498.0,558.72,149.464,250.88,400.34400000000005,298.45219999999995,140.0762,30.022081010331135,46.582867983963354,34.98895949483444,否,是,否,1,部分达标,22419.6,30105.6,109733.26527999998,52934.79598,24000.0,36000.0,36.0,3287.671232876712,172647.3405328767,4795.759459246575,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,2
风电2-光伏3,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,149.464,85.12,234.584,822.136,0.0,99.99999999999993,22.199258081611028,0.0,是,否,是,2,部分达标,22419.6,10214.400000000001,475474.8554,0.0,48000.0,72000.0,72.0,3287.671232876712,631468.5266328767,8770.396203234399,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,3
风电2-光伏3,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,149.464,85.12,234.584,705.2182,7.5822,93.53562050267705,24.350668297183066,3.2321897486614604,是,否,是,2,部分达标,22419.6,10214.400000000001,381660.01268000004,2865.3133800000005,42000.0,63000.0,63.0,3287.671232876712,519779.37053287675,8250.466198934551,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,3
风电2-光伏3,54,18,75.0,75.0,75.0,75.0,00:00-10:00、13:00-18:00、21:00-24:00,60.72,747.0,807.72,149.464,85.12,234.584,616.5142000000001,43.3782,63.01691504961974,23.67228742633586,18.491542475190123,是,否,是,2,部分达标,22419.6,10214.400000000001,310483.9230800001,16392.62178,36000.0,54000.0,54.0,3287.671232876712,420066.9725328768,7779.018009868089,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,3
风电2-光伏3,45,15,62.5,62.5,62.5,62.5,00:00-10:00、15:00-18:00、22:00-24:00,60.72,622.5,683.22,149.464,85.12,234.584,526.4464,77.8104,33.66094874330731,22.946283773894205,33.16952562834635,否,否,否,0,全部不达标,22419.6,10214.400000000001,246306.02036000002,29404.550160000003,30000.0,45000.0,45.0,3287.671232876712,327868.1414328767,7285.9586985083715,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,3
风电2-光伏3,36,12,50.0,50.0,50.0,50.0,00:00-07:00、09:00-10:00、15:00-18:00、23:00-24:00,60.72,498.0,558.72,149.464,85.12,234.584,411.9984,87.86240000000001,25.090884288783567,26.260309278350512,37.45455785560823,否,否,否,0,全部不达标,22419.6,10214.400000000001,176790.30516,33203.20096000001,24000.0,36000.0,36.0,3287.671232876712,239544.7754328767,6654.02153980213,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,3
风电2-光伏4,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,149.464,20.480000000000004,169.94400000000002,886.7760000000001,0.0,99.99999999999983,16.082216670451967,0.0,是,否,是,2,部分达标,22419.6,2457.6000000000004,522724.3914000001,0.0,48000.0,72000.0,72.0,3287.671232876712,670961.2626328768,9318.906425456622,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,4
风电2-光伏4,63,21,87.5,87.5,87.5,87.5,00:00-10:00、12:00-20:00、21:00-24:00,60.72,871.5,932.22,149.464,20.480000000000004,169.94400000000002,765.6318,3.3558,96.05069905380594,17.870052133616532,1.9746504730970198,是,否,是,2,部分达标,22419.6,2457.6000000000004,425518.28532,1268.1568200000002,42000.0,63000.0,63.0,3287.671232876712,557477.9997328768,8848.857138617092,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,4
风电2-光伏4,54,18,75.0,75.0,75.0,75.0,00:00-10:00、13:00-18:00、21:00-24:00,60.72,747.0,807.72,149.464,20.480000000000004,169.94400000000002,652.9942,15.2182,82.09033563997554,19.15587084633289,8.954832180012238,是,否,是,2,部分达标,22419.6,2457.6000000000004,335137.87508,5750.957780000001,36000.0,54000.0,54.0,3287.671232876712,447605.78853287676,8288.996083942162,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,4
风电2-光伏4,45,15,62.5,62.5,62.5,62.5,00:00-10:00、15:00-18:00、22:00-24:00,60.72,622.5,683.22,149.464,20.480000000000004,169.94400000000002,550.1264,36.8504,56.63230240549828,19.480343081291533,21.683848797250857,否,否,否,0,全部不达标,22419.6,2457.6000000000004,260689.25236,13925.766160000001,30000.0,45000.0,45.0,3287.671232876712,349973.3574328767,7777.185720730594,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,2,4
风电2-光伏4,36,12,50.0,50.0,50.0,50.0,00:00-08:00、15:00-18:00、23:00-24:00,60.72,498.0,558.72,149.464,20.480000000000004,169.94400000000002,427.5886,38.8126,54.32307112931321,23.46996706758305,22.838464435343404,否,否,否,0,全部不达标,22419.6,2457.6000000000004,186259.79264,14667.281540000002,24000.0,36000.0,36.0,3287.671232876712,259793.38233287673,7216.48284257991,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,2,4
风电3-光伏1,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,271.40000000000003,509.44000000000005,780.8399999999999,402.2482,126.36819999999999,67.6327544695456,61.93426830191536,16.18362276522719,是,是,是,3,全部达标,40710.00000000001,61132.8,202880.10468,47754.542779999996,48000.0,72000.0,72.0,3287.671232876712,380328.03313287674,5282.333793512177,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,3,1
风电3-光伏1,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,271.40000000000003,509.44000000000005,780.8399999999999,311.2944,159.9144,59.040418011372374,66.60719572633069,20.479790994313817,否,是,否,1,部分达标,40710.00000000001,61132.8,129898.77556,60431.65176000001,42000.0,63000.0,63.0,3287.671232876712,279660.5950328767,4439.057064013916,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,1
风电3-光伏1,54,18,75.0,75.0,75.0,75.0,00:00-17:00、23:00-24:00,60.72,747.0,807.7199999999999,271.40000000000003,509.44000000000005,780.8399999999999,229.8364,202.9564,48.01588033399927,71.54504036052096,25.992059833000365,否,是,否,1,部分达标,40710.00000000001,61132.8,80421.18635999999,76697.22356000001,36000.0,54000.0,54.0,3287.671232876712,198908.4340328767,3683.4895191273467,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,1
风电3-光伏1,45,15,62.5,62.5,62.5,62.5,00:00-07:00、10:00-17:00、23:00-24:00,60.72,622.5,683.22,271.40000000000003,509.44000000000005,780.8399999999999,223.3262,320.9462,17.79463142257057,67.31269576417552,41.10268428871472,否,是,否,1,部分达标,40710.00000000001,61132.8,76466.89087999999,121285.56898,30000.0,45000.0,45.0,3287.671232876712,135356.79313287674,3007.92873628615,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.298736673660783e-15,1,3,1
风电3-光伏1,36,12,50.0,50.0,50.0,50.0,00:00-07:00、13:00-17:00、23:00-24:00,60.72,498.0,558.72,271.40000000000003,509.44000000000005,780.8399999999999,223.3262,445.44620000000003,-14.09410378566672,60.02895904925541,57.047051892833366,否,是,否,1,部分达标,40710.00000000001,61132.8,76466.89087999999,168334.11898000003,24000.0,36000.0,36.0,3287.671232876712,73299.2431328767,2036.0900870243527,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,1
风电3-光伏2,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,271.40000000000003,250.88,522.28,538.1664,3.7264000000000053,98.5730259630849,49.07199636611402,0.7134870184575334,是,是,是,3,全部达标,40710.00000000001,30105.6,287056.84836,1408.2065600000021,48000.0,72000.0,72.0,3287.671232876712,479823.91303287674,6664.22101434551,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,3,2
风电3-光伏2,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,271.40000000000003,250.88,522.28,438.8926,28.95260000000001,88.9129968599219,52.91963270472635,5.543501570039062,是,是,是,3,全部达标,40710.00000000001,30105.6,207399.55124,10941.187540000004,42000.0,63000.0,63.0,3287.671232876712,375624.63493287674,5962.295792585345,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,2
风电3-光伏2,54,18,75.0,75.0,75.0,75.0,00:00-07:00、08:00-18:00、23:00-24:00,60.72,747.0,807.72,271.40000000000003,250.88,522.28,336.4962,51.05620000000001,80.4487248219346,58.3399940573466,9.775637589032705,是,是,是,3,全部达标,40710.00000000001,30105.6,145203.97788,19294.137980000007,36000.0,54000.0,54.0,3287.671232876712,290067.1111328767,5371.613169127347,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,3,2
风电3-光伏2,45,15,62.5,62.5,62.5,62.5,00:00-07:00、09:00-10:00、11:00-17:00、23:00-24:00,60.72,622.5,683.22,271.40000000000003,250.88,522.28,278.0304,117.09040000000002,55.16182890403615,59.305875120751715,22.41908554798193,否,是,否,1,部分达标,40710.00000000001,30105.6,107379.89196,44248.46216000001,30000.0,45000.0,45.0,3287.671232876712,212279.70103287674,4717.326689619483,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,3,2
风电3-光伏2,36,12,50.0,50.0,50.0,50.0,00:00-07:00、12:00-16:00、23:00-24:00,60.72,498.0,558.72,271.40000000000003,250.88,522.28,245.10039999999998,208.6604,20.096346787163988,56.131801260022904,39.95182660641802,否,是,否,1,部分达标,40710.00000000001,30105.6,86453.90996,78852.76516000001,24000.0,36000.0,36.0,3287.671232876712,141740.4160328767,3937.2337786910193,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,2
风电3-光伏3,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,271.40000000000003,85.12,356.52000000000004,700.1999999999999,0.0,99.99999999999996,33.73836020894846,0.0,是,是,是,3,全部达标,40710.00000000001,10214.400000000001,405091.809,0.0,48000.0,72000.0,72.0,3287.671232876712,579375.8802328767,8046.887225456621,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,3,3
风电3-光伏3,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,271.40000000000003,85.12,356.52000000000004,599.0062,23.306200000000004,86.92572646695837,35.744116195747786,6.537136766520812,是,是,是,3,全部达标,40710.00000000001,10214.400000000001,323893.90388000006,8807.412980000003,42000.0,63000.0,63.0,3287.671232876712,474361.5621328768,7529.548605283759,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,3
风电3-光伏3,54,18,75.0,75.0,75.0,75.0,00:00-10:00、12:00-14:00、15:00-18:00、21:00-24:00,60.72,747.0,807.72,271.40000000000003,85.12,356.52000000000004,522.284,71.084,60.12341523617187,35.338483632942115,19.938292381914057,是,是,是,3,全部达标,40710.00000000001,10214.400000000001,262332.0106,26862.643600000003,36000.0,54000.0,54.0,3287.671232876712,379735.4382328767,7032.137745053273,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,3
风电3-光伏3,45,15,62.5,62.5,62.5,62.5,00:00-10:00、13:00-14:00、15:00-18:00、23:00-24:00,60.72,622.5,683.22,271.40000000000003,85.12,356.52000000000004,427.13,100.43,43.66094468753505,37.48280202570183,28.169527656232468,否,是,否,1,部分达标,40710.00000000001,10214.400000000001,200310.25,37952.497,30000.0,45000.0,45.0,3287.671232876712,291614.82423287677,6480.3294273972615,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3,3
