运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷失供量(MWh),能源自治率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t)
离网无储能,风电4-光伏2,4,2,40.39417725752509,618.364,13.326000000000008,2.1550413672206026,0.0,100.0,97.8449586327794,31.989492753623185,77.20236378205128,54.595928267837245,56.103023968784846,0.0,0.0,0.0,0.0,0.0,55122.6,30105.6,15354.956521739128,55585.70192307692,40.39417725752509,3287.671232876712,0.0,0.0,0.0,0.0,159496.92385495026,3948.5127482139114
离网无储能,风电4-光伏3,4,3,29.620526718691938,452.60400000000004,3.5857999999999994,0.7922599004869597,0.0,100.0,99.20774009951305,5.385587761674729,72.42439903846153,38.90499340006813,41.139620442627695,0.0,0.0,0.0,0.0,0.0,55122.6,10214.400000000001,2585.08212560387,52145.5673076923,29.620526718691938,3287.671232876712,0.0,0.0,0.0,0.0,123384.94119289158,4165.521510292047
离网无储能,风电4-光伏4,4,4,24.791009810479377,387.964,3.5857999999999994,0.9242610139085068,0.0,100.0,99.0757389860915,2.291787439613534,62.55460737179486,32.423197405704194,34.43195807011025,0.0,0.0,0.0,0.0,0.0,55122.6,2457.6000000000004,1100.0579710144962,45039.3173076923,24.791009810479377,3287.671232876712,0.0,0.0,0.0,0.0,107032.03752139398,4317.373045294452
离网无储能,风电5-光伏1,5,1,44.16313846153846,819.4200000000001,158.64419999999998,19.36054770447389,0.0,100.0,80.6394522955261,43.224999999999994,77.1862980769231,60.20564903846154,61.3376923076923,0.0,0.0,0.0,0.0,0.0,46497.0,61132.8,20747.999999999996,55574.134615384624,44.16313846153846,3287.671232876712,0.0,0.0,0.0,0.0,187283.76898672286,4240.725988027951
离网无储能,风电5-光伏2,5,2,36.45061397250093,560.8599999999999,9.850400000000008,1.7563028206682612,0.0,100.0,98.24369717933173,27.386030595813235,70.96069711538459,49.173363855598915,50.62585273958463,0.0,0.0,0.0,0.0,0.0,46497.0,30105.6,13145.294685990353,51091.7019230769,36.45061397250093,3287.671232876712,0.0,0.0,0.0,0.0,144163.71845591647,3955.042254286209
离网无储能,风电5-光伏3,5,3,25.606596060943886,395.1,0.0,0.0,0.0,100.0,100.0,2.4904186795491277,64.50472756410254,33.49757312182583,35.564716751310954,0.0,0.0,0.0,0.0,0.0,46497.0,10214.400000000001,1195.4009661835812,46443.40384615383,25.606596060943886,3287.671232876712,0.0,0.0,0.0,0.0,107663.48264127507,4204.5214594331555
离网无储能,风电5-光伏4,5,4,20.749230769230767,330.4599999999999,0.0,0.0,0.0,100.0,100.0,0.0,54.03445512820513,27.017227564102566,28.818376068376065,0.0,0.0,0.0,0.0,0.0,46497.0,2457.6000000000004,0.0,38904.807692307695,20.749230769230767,3287.671232876712,0.0,0.0,0.0,0.0,91167.82815595364,4393.793156474373
离网无储能,风电6-光伏1,6,1,41.50944132292828,715.76,90.8262,12.689476919637869,0.0,100.0,87.31052308036213,40.98510466988728,72.23553685897436,56.61032076443083,57.652001837400384,0.0,0.0,0.0,0.0,0.0,30948.0,61132.8,19672.850241545893,52009.58653846154,41.50944132292828,3287.671232876712,0.0,0.0,0.0,0.0,167092.41745420708,4025.407524863781
离网无储能,风电6-光伏2,6,2,29.77451133407655,457.20000000000005,0.0,0.0,0.0,100.0,100.0,15.685587761674734,63.81290064102563,39.74924420135018,41.35348796399521,0.0,0.0,0.0,0.0,0.0,30948.0,30105.6,7529.082125603873,45945.288461538454,29.77451133407655,3287.671232876712,0.0,0.0,0.0,0.0,117845.41633135312,3957.929485696732
离网无储能,风电6-光伏3,6,3,17.747692307692308,291.44,0.0,0.0,0.0,100.0,100.0,0.0,46.217948717948715,23.108974358974358,24.649572649572647,0.0,0.0,0.0,0.0,0.0,30948.0,10214.400000000001,0.0,33276.92307692307,17.747692307692308,3287.671232876712,0.0,0.0,0.0,0.0,77744.74200210748,4380.554984515418
离网无储能,风电6-光伏4,6,4,11.710646153846154,226.8,13.8416,6.102998236331569,0.0,100.0,93.89700176366843,0.0,30.496474358974364,15.248237179487182,16.264786324786325,0.0,0.0,0.0,0.0,0.0,30948.0,2457.6000000000004,0.0,21957.461538461543,11.710646153846154,3287.671232876712,0.0,0.0,0.0,0.0,58662.4434174921,5009.325928460869
