运行模式,场景,最大功率平衡残差(MW),最大氢氨物料平衡残差(kg/h),最大半连续边界违反(MW),最大同时充放电功率(MW),最大SOC及倍率边界违反(MWh),最大储能动态残差(MWh)
离网配置储能,风电2-光伏4,1.1379786002407855e-15,2.842170943040401e-14,0.0,0.0,0.0,2.220446049250313e-16
并网同产量,风电2-光伏4,1.432187701766452e-14,2.2737367544323206e-13,1.4210854715202004e-14,0.0,0.0,0.0
离网无储能,风电3-光伏1,1.9984014443252818e-15,2.842170943040401e-14,4.973799150320701e-14,0.0,0.0,0.0
离网配置储能,风电3-光伏1,7.105427357601002e-15,1.1368683772161603e-13,0.0,0.0,0.0,3.3306690738754696e-15
并网同产量,风电3-光伏1,3.569367024169878e-14,4.973799150320701e-13,2.4868995751603507e-14,0.0,0.0,0.0
离网无储能,风电3-光伏2,1.6653345369377348e-15,2.842170943040401e-14,2.1316282072803006e-14,0.0,0.0,0.0
离网配置储能,风电3-光伏2,2.3647750424515834e-14,3.410605131648481e-13,4.973799150320701e-14,0.0,0.0,2.6645352591003757e-15
并网同产量,风电3-光伏2,2.9726221484338566e-14,4.121147867408581e-13,2.4868995751603507e-14,0.0,0.0,0.0
离网无储能,风电3-光伏3,1.6653345369377348e-15,2.842170943040401e-14,0.0,0.0,0.0,0.0
离网配置储能,风电3-光伏3,3.652633751016765e-14,5.115907697472721e-13,0.0,0.0,0.0,2.7755575615628914e-17
并网同产量,风电3-光伏3,1.021405182655144e-14,0.0,2.4868995751603507e-14,0.0,0.0,0.0
离网无储能,风电3-光伏4,8.326672684688674e-16,2.842170943040401e-14,0.0,0.0,0.0,0.0
离网配置储能,风电3-光伏4,6.077470925670262e-16,5.684341886080801e-13,0.0,0.0,0.0,4.163336342344337e-17
并网同产量,风电3-光伏4,3.552713678800501e-15,0.0,4.973799150320701e-14,0.0,0.0,0.0
离网无储能,风电4-光伏1,3.1086244689504383e-15,1.4210854715202004e-14,0.0,0.0,0.0,0.0
离网配置储能,风电4-光伏1,4.263256414560601e-14,6.252776074688882e-13,2.842170943040401e-14,0.0,0.0,2.942091015256665e-15
并网同产量,风电4-光伏1,2.4868995751603507e-14,3.410605131648481e-13,4.618527782440651e-14,0.0,0.0,0.0
离网无储能,风电4-光伏2,2.6645352591003757e-15,1.4210854715202004e-14,2.842170943040401e-14,0.0,0.0,0.0
离网配置储能,风电4-光伏2,4.263256414560601e-14,6.252776074688882e-13,3.907985046680551e-14,0.0,0.0,2.220446049250313e-16
并网同产量,风电4-光伏2,3.375077994860476e-14,4.547473508864641e-13,4.973799150320701e-14,0.0,0.0,0.0
离网无储能,风电4-光伏3,1.6653345369377348e-15,5.684341886080802e-14,2.4868995751603507e-14,0.0,0.0,0.0
离网配置储能,风电4-光伏3,4.263256414560601e-14,6.252776074688882e-13,3.9968028886505635e-15,0.0,0.0,3.941291737419306e-15
并网同产量,风电4-光伏3,3.5638159090467525e-14,5.115907697472721e-13,4.973799150320701e-14,0.0,0.0,0.0
离网无储能,风电4-光伏4,1.6653345369377348e-15,2.842170943040401e-14,7.105427357601002e-15,0.0,0.0,0.0
离网配置储能,风电4-光伏4,4.263256414560601e-14,6.252776074688882e-13,2.1316282072803006e-14,0.0,0.0,7.771561172376096e-16
并网同产量,风电4-光伏4,7.105427357601002e-15,0.0,4.973799150320701e-14,0.0,0.0,0.0
离网无储能,风电5-光伏1,9.992007221626409e-16,5.684341886080802e-14,4.263256414560601e-14,0.0,0.0,0.0
离网配置储能,风电5-光伏1,2.2648549702353193e-14,3.126388037344441e-13,1.4210854715202004e-14,0.0,7.216449660063518e-16,7.244205235679146e-15
并网同产量,风电5-光伏1,3.6548541970660153e-13,3.410605131648481e-13,4.085620730620576e-13,0.0,0.0,0.0
离网无储能,风电5-光伏2,3.3306690738754696e-15,5.684341886080802e-14,2.842170943040401e-14,0.0,0.0,0.0
离网配置储能,风电5-光伏2,2.2648549702353193e-14,3.126388037344441e-13,2.842170943040401e-14,0.0,0.0,4.093947403305265e-15
并网同产量,风电5-光伏2,3.375077994860476e-14,4.547473508864641e-13,3.907985046680551e-14,0.0,0.0,0.0
离网无储能,风电5-光伏3,1.6653345369377348e-15,5.684341886080802e-14,1.0658141036401503e-14,0.0,0.0,0.0
离网配置储能,风电5-光伏3,5.129230373768223e-14,7.389644451905042e-13,0.0,0.0,0.0,1.3877787807814457e-17
并网同产量,风电5-光伏3,4.263256414560601e-14,5.968558980384842e-13,3.907985046680551e-14,0.0,0.0,0.0
离网无储能,风电5-光伏4,1.6653345369377348e-15,5.684341886080802e-14,0.0,0.0,0.0,0.0
离网配置储能,风电5-光伏4,3.375077994860476e-14,5.115907697472721e-13,0.0,0.0,0.0,1.3877787807814457e-17
并网同产量,风电5-光伏4,6.439293542825908e-15,0.0,3.907985046680551e-14,0.0,0.0,0.0
离网无储能,风电6-光伏1,1.7763568394002505e-15,5.684341886080802e-14,2.842170943040401e-14,0.0,0.0,0.0
离网配置储能,风电6-光伏1,2.5091040356528538e-14,3.694822225952521e-13,2.842170943040401e-14,0.0,0.0,1.8596235662471372e-15
并网同产量,风电6-光伏1,4.4853010194856324e-14,6.252776074688882e-13,2.4868995751603507e-14,0.0,0.0,0.0
离网无储能,风电6-光伏2,3.1086244689504383e-15,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0
离网配置储能,风电6-光伏2,2.5091040356528538e-14,3.694822225952521e-13,0.0,0.0,0.0,1.3877787807814457e-17
并网同产量,风电6-光伏2,2.1316282072803006e-14,1.1368683772161603e-13,3.907985046680551e-14,0.0,0.0,0.0
离网无储能,风电6-光伏3,1.3322676295501878e-15,5.684341886080802e-14,0.0,0.0,0.0,0.0
离网配置储能,风电6-光伏3,3.5638159090467525e-14,5.115907697472721e-13,0.0,0.0,0.0,1.3877787807814457e-17
并网同产量,风电6-光伏3,8.881784197001252e-14,0.0,1.3145040611561853e-13,0.0,0.0,0.0
离网无储能,风电6-光伏4,8.326672684688674e-16,2.842170943040401e-14,0.0,0.0,0.0,0.0
离网配置储能,风电6-光伏4,1.4432899320127035e-15,5.400124791776761e-13,0.0,0.0,0.0,6.661338147750939e-16
并网同产量,风电6-光伏4,7.105427357601002e-15,0.0,1.0054179711005418e-12,0.0,0.0,0.0
