模型,场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh),售电量(MWh),最大购电功率(MW),最大反送功率(MW),交换功率峰谷差(MW),最大爬坡功率(MW/h),交换功率标准差(MW)
问题二离散调节,风电1-光伏3,1,3,63.0,605.3822,10.606200000000001,39.7882,5.098000000000001,44.8862,41.330200000000005,12.12486899099899
问题二离散调节,风电1-光伏3,1,3,72.0,719.2760000000001,0.0,39.7882,0.0,24.198400000000007,13.586000000000002,6.448802870731557
问题二离散调节,风电1-光伏4,1,4,36.0,361.2504,75.3344,39.7882,19.5102,59.2984,43.108200000000004,18.77624823544067
问题二离散调节,风电1-光伏4,1,4,45.0,472.82820000000004,62.4122,39.7882,19.5102,59.2984,42.0738,19.303632103369104
问题二离散调节,风电1-光伏4,1,4,54.0,565.34,30.424,39.7882,8.198,47.986200000000004,42.0738,16.52138102981171
问题二离散调节,风电1-光伏4,1,4,63.0,668.7422,9.3262,39.7882,3.818000000000001,43.6062,42.0738,12.534918057791826
问题二离散调节,风电1-光伏4,1,4,72.0,783.916,0.0,39.7882,0.0,17.798400000000004,12.306000000000004,5.308682931345171
问题二离散调节,风电2-光伏1,2,1,36.0,263.2564,363.44039999999995,39.2842,55.432,94.7162,50.650000000000006,30.338499359431445
问题二离散调节,风电2-光伏1,2,1,45.0,263.2564,238.94039999999998,39.2842,37.8582,77.1424,50.650000000000006,24.760079505773447
问题二离散调节,风电2-光伏1,2,1,54.0,284.6024,135.7864,39.2842,27.7882,67.0724,39.8482,20.836988987108693
问题二离散调节,风电2-光伏1,2,1,63.0,380.75019999999995,107.43419999999998,41.638200000000005,18.9182,60.556400000000004,42.10620000000001,21.462662240867406
问题二离散调节,风电2-光伏1,2,1,72.0,487.42799999999994,89.61199999999998,41.638200000000005,18.9182,60.556400000000004,13.957799999999992,21.661708767213067
问题二离散调节,风电2-光伏2,2,2,36.0,298.45219999999995,140.0762,39.2842,31.752,71.0362,42.33,22.065493207570352
问题二离散调节,风电2-光伏2,2,2,45.0,351.27419999999995,68.3982,39.2842,26.1758,65.46,49.0958,18.944815717675027
问题二离散调节,风电2-光伏2,2,2,54.0,424.91200000000003,17.536,39.2842,7.4698,46.754,42.33,15.782704367756496
问题二离散调节,风电2-光伏2,2,2,63.0,541.3782,9.5022,41.638200000000005,6.8420000000000005,48.4802,42.10620000000001,15.298822969213461
问题二离散调节,风电2-光伏2,2,2,72.0,656.376,0.0,41.638200000000005,0.0,41.3564,8.837800000000003,12.634782961861012
问题二离散调节,风电2-光伏3,2,3,36.0,411.9984,87.86240000000001,39.2842,18.1782,57.4624,46.1302,21.35148493779505
问题二离散调节,风电2-光伏3,2,3,45.0,526.4464,77.8104,40.936,18.1782,59.1142,46.1302,21.66500737284794
问题二离散调节,风电2-光伏3,2,3,54.0,616.5142000000001,43.3782,41.638200000000005,14.9882,56.626400000000004,44.61579999999999,18.579611156199032
问题二离散调节,风电2-光伏3,2,3,63.0,705.2182,7.5822,41.638200000000005,4.922000000000001,46.56020000000001,42.10620000000001,12.728575246228027
问题二离散调节,风电2-光伏3,2,3,72.0,822.136,0.0,41.638200000000005,0.0,18.316400000000005,4.630200000000002,4.752232883837052
问题二离散调节,风电2-光伏4,2,4,36.0,427.58859999999993,38.8126,39.354,11.7782,51.1322,45.49020000000001,19.683368220234396
问题二离散调节,风电2-光伏4,2,4,45.0,550.1264,36.85040000000001,40.936,11.7782,52.7142,45.49020000000001,20.023873540767948
问题二离散调节,风电2-光伏4,2,4,54.0,652.9942,15.2182,41.638200000000005,6.0282,47.6664,42.10620000000001,17.120404526762794
问题二离散调节,风电2-光伏4,2,4,63.0,765.6318,3.3558,41.638200000000005,1.6719999999999997,43.3102,42.10620000000001,12.835496156232788
问题二离散调节,风电2-光伏4,2,4,72.0,886.7760000000001,0.0,41.638200000000005,0.0,11.916400000000003,5.75,3.4626605127656775
问题二离散调节,风电3-光伏1,3,1,36.0,223.3262,445.44620000000003,35.008199999999995,62.0722,97.0804,51.078,31.578465070783075
问题二离散调节,风电3-光伏1,3,1,45.0,223.3262,320.9462,35.008199999999995,53.79599999999999,88.80419999999998,51.078,25.694584545710534
问题二离散调节,风电3-光伏1,3,1,54.0,229.8364,202.95639999999997,35.008199999999995,33.5282,68.53639999999999,39.9002,20.788949337568745
问题二离散调节,风电3-光伏1,3,1,63.0,311.2944,159.9144,36.8782,22.834200000000003,59.7124,42.2462,21.44942714798385
问题二离散调节,风电3-光伏1,3,1,72.0,402.2482,126.36819999999999,36.8782,22.834200000000003,59.7124,13.945799999999995,21.610061650999516
问题二离散调节,风电3-光伏2,3,2,36.0,245.10039999999998,208.6604,35.008199999999995,36.76,71.7682,42.757999999999996,22.2945286138899
问题二离散调节,风电3-光伏2,3,2,45.0,278.0304,117.09040000000002,35.008199999999995,29.6438,64.65199999999999,45.5078,18.787889934712968
问题二离散调节,风电3-光伏2,3,2,54.0,336.4962,51.05620000000001,35.008199999999995,12.742,47.75019999999999,42.757999999999996,15.60175009784337
问题二离散调节,风电3-光伏2,3,2,63.0,438.8926,28.95260000000001,36.8782,12.742,49.6202,42.2462,15.229929411049666
问题二离散调节,风电3-光伏2,3,2,72.0,538.1664,3.7264000000000053,36.8782,3.6342,40.5124,10.3658,12.484694207263903
问题二离散调节,风电3-光伏3,3,3,36.0,345.2962,143.0962,35.008199999999995,22.0942,57.102399999999996,42.2222,20.849051782435254
问题二离散调节,风电3-光伏3,3,3,45.0,427.13,100.43,35.008199999999995,19.8322,54.840399999999995,42.2222,19.700018713442887
问题二离散调节,风电3-光伏3,3,3,54.0,522.2839999999999,71.084,36.8782,18.494,55.3722,42.2462,18.2686587783559
问题二离散调节,风电3-光伏3,3,3,63.0,599.0062,23.306200000000004,36.8782,10.822,47.700199999999995,42.2462,12.721376850666232
问题二离散调节,风电3-光伏3,3,3,72.0,700.1999999999999,0.0,36.8782,0.0,17.4724,4.556199999999997,4.553416507781089
问题二离散调节,风电3-光伏4,3,4,36.0,362.8224,95.98240000000001,35.008199999999995,15.6942,50.7024,41.833800000000004,19.321078647828013
问题二离散调节,风电3-光伏4,3,4,45.0,468.0122,76.6722,36.608,15.6942,52.3022,41.833800000000004,19.481821198206518
问题二离散调节,风电3-光伏4,3,4,54.0,560.1022,44.26220000000001,36.8782,10.8722,47.7504,42.2462,16.930884406380613
问题二离散调节,风电3-光伏4,3,4,63.0,657.0717999999999,16.7318,36.8782,6.68,43.5582,42.2462,12.522911290865588
问题二离散调节,风电3-光伏4,3,4,72.0,764.8399999999999,0.0,36.8782,0.0,11.072399999999998,4.821999999999999,3.242932846805324
问题二离散调节,风电4-光伏1,4,1,36.0,188.95420000000001,507.15819999999997,34.5162,63.99199999999999,98.50819999999999,50.153999999999996,32.45772048953325
问题二离散调节,风电4-光伏1,4,1,45.0,188.95420000000001,382.65819999999997,34.5162,63.99199999999999,98.50819999999999,50.153999999999996,27.510882403635595
问题二离散调节,风电4-光伏1,4,1,54.0,188.95420000000001,258.1582,34.5162,37.7922,72.3084,39.1082,20.937614542015048
问题二离散调节,风电4-光伏1,4,1,63.0,246.832,191.536,36.908,23.082200000000007,59.99020000000001,40.4938,20.646291046093484
问题二离散调节,风电4-光伏1,4,1,72.0,353.50199999999995,173.70600000000002,37.9142,23.082200000000007,60.99640000000001,18.486000000000004,23.001616125321863
问题二离散调节,风电4-光伏2,4,2,36.0,203.0342,262.6782,34.5162,35.831999999999994,70.34819999999999,41.834,22.720683879060996
问题二离散调节,风电4-光伏2,4,2,45.0,227.14600000000002,162.29000000000002,34.5162,35.112,69.62819999999999,41.834,19.575707280084558
问题二离散调节,风电4-光伏2,4,2,54.0,267.272,77.916,34.5162,29.835800000000003,64.352,39.1082,15.866609097899763
问题二离散调节,风电4-光伏2,4,2,63.0,353.7584,39.90240000000001,37.9142,15.918,53.8322,44.8622,15.059869095786398
问题二离散调节,风电4-光伏2,4,2,72.0,448.09619999999995,9.740200000000009,37.9142,3.882199999999997,41.7964,10.829800000000006,13.235651700321457
问题二离散调节,风电4-光伏3,4,3,36.0,272.58639999999997,166.47039999999998,34.5162,23.042,57.5582,39.6622,19.36173197426649
问题二离散调节,风电4-光伏3,4,3,45.0,338.8422,108.22619999999999,34.5162,22.3422,56.858399999999996,40.8002,17.77489347253592
问题二离散调节,风电4-光伏3,4,3,54.0,414.7718,59.6558,36.908,15.272,52.18,40.4938,15.383495161265097
问题二离散调节,风电4-光伏3,4,3,63.0,506.416,26.799999999999997,37.9142,12.555799999999998,50.47,44.8622,12.565151065281043
问题二离散调节,风电4-光伏3,4,3,72.0,604.116,0.0,37.9142,0.0,22.270000000000003,10.476199999999995,6.799763356911768
问题二离散调节,风电4-光伏4,4,4,36.0,287.94640000000004,117.1904,34.5162,16.642000000000003,51.1582,39.1082,17.57741040651008
问题二离散调节,风电4-光伏4,4,4,45.0,380.97220000000004,85.7162,36.908,16.642000000000003,53.550000000000004,40.7458,17.738990374752323
问题二离散调节,风电4-光伏4,4,4,54.0,469.30219999999997,49.5462,37.9142,12.718,50.6322,44.8622,15.821448993867648
问题二离散调节,风电4-光伏4,4,4,63.0,561.1118,16.8558,37.9142,6.948,44.8622,44.8622,12.007415258173685
问题二离散调节,风电4-光伏4,4,4,72.0,668.7560000000001,0.0,37.9142,0.0,22.270000000000003,13.036199999999997,6.243300937716272
问题二离散调节,风电5-光伏1,5,1,36.0,212.7502,473.4502,33.0938,65.8002,98.894,43.925999999999995,33.0466345433742
问题二离散调节,风电5-光伏1,5,1,45.0,212.7502,348.9502,33.0938,62.80799999999999,95.9018,43.925999999999995,26.76969528951223
问题二离散调节,风电5-光伏1,5,1,54.0,222.3924,234.0924,33.0938,29.5522,62.646,30.696199999999997,21.089570202116494
问题二离散调节,风电5-光伏1,5,1,63.0,305.3064,192.50639999999999,36.856,24.942200000000007,61.79820000000001,42.13420000000001,22.234671743922824
问题二离散调节,风电5-光伏1,5,1,72.0,395.9442,158.64419999999998,36.856,24.942200000000007,61.79820000000001,23.5764,22.735048852157764
问题二离散调节,风电5-光伏2,5,2,36.0,233.68220000000002,235.8222,33.0938,36.835800000000006,69.92960000000001,43.68780000000001,22.917738752595604
问题二离散调节,风电5-光伏2,5,2,45.0,253.6064,131.2464,33.0938,30.33580000000001,63.42960000000001,40.721800000000016,18.78459401874017
问题二离散调节,风电5-光伏2,5,2,54.0,303.7442,56.88420000000001,33.0938,9.4578,42.5516,35.606,15.20419622556732
问题二离散调节,风电5-光伏2,5,2,63.0,406.75260000000003,35.39260000000001,36.856,9.0562,45.9122,42.13420000000001,15.443381725372056
问题二离散调节,风电5-光伏2,5,2,72.0,505.7104,9.850400000000008,36.856,5.742199999999997,42.5982,19.736399999999996,13.341658737411759
问题二离散调节,风电5-光伏3,5,3,36.0,320.6582,157.0382,33.0938,24.2022,57.29600000000001,45.8702,20.69576918059985
问题二离散调节,风电5-光伏3,5,3,45.0,388.96360000000004,100.84360000000001,33.0938,21.948,55.0418,45.8702,18.75139287875259
问题二离散调节,风电5-光伏3,5,3,54.0,476.5880000000001,63.967999999999996,34.110200000000006,19.5558,53.66600000000001,45.8702,16.967788216991238
问题二离散调节,风电5-光伏3,5,3,63.0,560.7422000000001,23.6222,36.856,9.0562,45.9122,42.13420000000001,12.584733538167056
问题二离散调节,风电5-光伏3,5,3,72.0,661.6200000000001,0.0,36.856,0.0,19.558200000000003,13.976400000000002,5.732422726038269
问题二离散调节,风电5-光伏4,5,4,36.0,338.4842,110.2242,34.110200000000006,17.8022,51.912400000000005,42.13420000000001,19.027412248268433
问题二离散调节,风电5-光伏4,5,4,45.0,445.4784,92.7184,36.2678,17.8022,54.07,45.2302,19.77871894525921
问题二离散调节,风电5-光伏4,5,4,54.0,532.932,55.672000000000004,36.856,11.875799999999998,48.7318,45.2302,17.290309671380157
问题二离散调节,风电5-光伏4,5,4,63.0,624.1022,22.342200000000002,36.856,9.0562,45.9122,42.13420000000001,12.874192134481898
问题二离散调节,风电5-光伏4,5,4,72.0,726.26,0.0,36.856,0.0,13.670200000000001,12.056399999999996,4.088191352202368
问题二离散调节,风电6-光伏1,6,1,36.0,243.1862,400.22620000000006,33.4218,57.2,90.62180000000001,51.746,29.99618164670667
问题二离散调节,风电6-光伏1,6,1,45.0,243.1862,275.7262,33.4218,42.7822,76.20400000000001,51.746,24.519712113567365
问题二离散调节,风电6-光伏1,6,1,54.0,257.4304,165.47039999999998,33.4218,29.5882,63.01,39.4362,20.44305660566008
问题二离散调节,风电6-光伏1,6,1,63.0,339.4604,123.0004,35.372,19.718,55.09,39.7182,20.485621757683823
问题二离散调节,风电6-光伏1,6,1,72.0,431.7862,90.8262,36.528,18.0882,54.6162,12.990000000000002,20.07956249645118
问题二离散调节,风电6-光伏2,6,2,36.0,283.01,181.49,33.4218,33.52,66.9418,43.426,22.153809916731404
问题二离散调节,风电6-光伏2,6,2,45.0,331.216,105.196,33.4218,26.8798,60.30159999999999,47.7118,19.272416927913667
问题二离散调节,风电6-光伏2,6,2,54.0,397.4258,46.9058,33.4218,11.398,44.8198,43.426,16.140125272954567
问题二离散调节,风电6-光伏2,6,2,63.0,498.8742,23.854200000000002,35.372,11.398,46.769999999999996,39.7182,14.752211559966188
问题二离散调节,风电6-光伏2,6,2,72.0,599.52,0.0,36.528,0.0,35.2262,7.2378,10.86995295114013
问题二离散调节,风电6-光伏3,6,3,36.0,389.0982,121.81819999999999,33.4218,17.3482,50.769999999999996,46.2342,21.488908822511725
问题二离散调节,风电6-光伏3,6,3,45.0,490.9504,99.1704,34.7462,17.3482,52.0944,46.2342,21.36065864618619
问题二离散调节,风电6-光伏3,6,3,54.0,574.816,58.536,35.372,13.679999999999998,49.052,46.2342,18.29640135059958
问题二离散调节,风电6-光伏3,6,3,63.0,662.7142,21.934200000000004,35.372,9.478,44.85,42.509800000000006,13.166800274385405
问题二离散调节,风电6-光伏3,6,3,72.0,765.28,0.0,36.528,0.0,12.376199999999997,4.734199999999994,2.9792774373812336
问题二离散调节,风电6-光伏4,6,4,36.0,397.75239999999997,65.8324,35.8378,10.7582,46.596000000000004,39.7182,19.44627807987945
问题二离散调节,风电6-光伏4,6,4,45.0,511.25039999999996,54.830400000000004,38.6722,10.7582,49.4304,45.594199999999994,19.621263760947375
问题二离散调节,风电6-光伏4,6,4,54.0,613.856,32.93600000000001,38.752,8.198,46.95,45.594199999999994,17.330331488270307
问题二离散调节,风电6-光伏4,6,4,63.0,715.7518,10.331800000000001,38.752,4.972000000000001,43.724000000000004,40.671800000000005,12.625836602380058
问题二离散调节,风电6-光伏4,6,4,72.0,829.92,0.0,39.5802,0.0,9.068399999999997,4.9482,2.665492042131558
问题三连续调节,风电1-光伏1,1,1,36.0,233.21019950133007,446.25419956155594,39.78820000000001,50.9622,90.75040000000001,54.925999561555905,30.210904435955634
问题三连续调节,风电1-光伏1,1,1,45.0,233.21019971831174,325.28963927875145,39.78820000000001,47.3502,87.13840000000002,43.10820000000001,27.16963444551852
问题三连续调节,风电1-光伏1,1,1,54.0,233.21019971830356,192.21821070731468,39.78820000000001,34.758,74.54620000000001,43.10820000000001,21.784674646923076
问题三连续调节,风电1-光伏1,1,1,63.0,302.60170328002334,135.324,39.78820000000001,26.650200000000005,66.43840000000002,37.43019987857299,21.0139684810459
问题三连续调节,风电1-光伏1,1,1,72.0,430.28,135.324,39.7882,26.650200000000005,66.4384,23.826000000000008,23.015914084220558
问题三连续调节,风电1-光伏2,1,2,36.0,247.29019950132096,201.774199561548,39.78820000000001,32.74380000000001,72.53200000000001,57.006,22.47505403896732
问题三连续调节,风电1-光伏2,1,2,45.0,247.290199625777,78.5739523730299,39.78819962577698,14.395999999999995,54.18419962577698,43.10819962577698,17.607139077686647
问题三连续调节,风电1-光伏2,1,2,54.0,301.35933184856333,7.450200000000017,39.78820000000001,7.450200000000002,47.23840000000001,26.768868293892726,14.503916599366157
问题三连续调节,风电1-光伏2,1,2,63.0,433.8277941744491,7.4502000000000095,39.78820000000001,7.450200000000002,47.23840000000001,33.04060558999159,14.877254802848851
问题三连续调节,风电1-光伏2,1,2,72.0,560.9662000000001,7.450200000000002,39.7882,7.450200000000002,47.238400000000006,15.506,13.587408771808635
问题三连续调节,风电1-光伏3,1,3,36.0,247.2901993337777,36.014199414239314,39.78820000000001,8.471799414239307,48.25999941423932,43.10820000000001,16.005261275053122
问题三连续调节,风电1-光伏3,1,3,45.0,329.3897362637362,3.552713678800501e-15,39.7882,3.552713678800501e-15,39.7882,34.285999999999994,13.678230776674743
问题三连续调节,风电1-光伏3,1,3,54.0,462.46116480618514,4.440892098500626e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,37.4301997890278,14.82885709419901
问题三连续调节,风电1-光伏3,1,3,63.0,586.2045714285714,0.0,39.78820000000001,-0.0,39.78820000000001,20.915799999999997,12.204987632390557
问题三连续调节,风电1-光伏3,1,3,72.0,719.2760000000001,0.0,39.7882,0.0,24.198400000000007,13.586000000000002,6.448802870731557
问题三连续调节,风电1-光伏4,1,4,36.0,275.91600000000005,3.552713678800501e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,34.3722,14.43327226695046
问题三连续调节,风电1-光伏4,1,4,45.0,398.9428955803731,3.552713678800501e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,31.371999999999986,13.532421985213718
问题三连续调节,风电1-光伏4,1,4,54.0,529.9159999669471,3.552713678800501e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,38.1738,15.05081106802904
问题三连续调节,风电1-光伏4,1,4,63.0,650.8445715125722,0.0,39.78820000000001,0.0,36.42840000000001,19.2038,9.599326126454995
问题三连续调节,风电1-光伏4,1,4,72.0,783.9159999999999,0.0,39.7882,0.0,17.798400000000004,12.306000000000004,5.308682931345171
问题三连续调节,风电2-光伏1,2,1,36.0,263.2563995013251,373.44039956155154,39.2842,55.432,94.7162,39.8482,31.89707509396164
问题三连续调节,风电2-光伏1,2,1,45.0,263.2563997183109,252.45166345457477,39.2842,39.6182,78.9024,39.8482,26.25771542602371
问题三连续调节,风电2-光伏1,2,1,54.0,263.2563996159118,119.38023478074712,39.2842,28.583799999999997,67.868,39.8482,20.49604680695601
问题三连续调节,风电2-光伏1,2,1,63.0,360.77759338574776,90.07999999999998,41.638200000000005,18.9182,60.556400000000004,42.10620000000001,20.666954157854757
问题三连续调节,风电2-光伏1,2,1,72.0,487.42799999999994,89.612,41.638200000000005,18.9182,60.556400000000004,13.957799999999992,21.661708767213067
问题三连续调节,风电2-光伏2,2,2,36.0,277.33639945744744,128.96039952297315,39.2842,36.7482,76.0324,42.330000000000005,21.634996779016138
问题三连续调节,风电2-光伏2,2,2,45.0,278.2719391783776,3.2242000000000077,39.2842,2.1922,41.4764,39.8482,16.46093211605827
问题三连续调节,风电2-光伏2,2,2,54.0,397.7970219534609,0.4680000000000075,39.2842,0.4680000000000004,39.7522,27.6618,15.208258194301125
问题三连续调节,风电2-光伏2,2,2,63.0,527.6644299180541,7.105427357601002e-15,41.638200000000005,7.105427357601002e-15,41.63820000000001,28.431799999999996,15.488420259520673
问题三连续调节,风电2-光伏2,2,2,72.0,656.376,0.0,41.638200000000005,0.0,41.3564,8.837800000000003,12.634782961861013
问题三连续调节,风电2-光伏3,2,3,36.0,314.60399999018273,0.4680000000000075,39.2842,0.4680000000000004,39.7522,34.86019999999999,16.052954813812867
问题三连续调节,风电2-光伏3,2,3,45.0,435.38831316142966,0.46800000000000574,39.2842,0.4680000000000004,39.7522,35.72,14.882683301266095
问题三连续调节,风电2-光伏3,2,3,54.0,568.4597417240375,0.46800000000000574,41.638200000000005,0.4680000000000004,42.10620000000001,42.10620000000001,16.81774393003867
问题三连续调节,风电2-光伏3,2,3,63.0,689.0645715147236,0.0,41.638200000000005,0.0,39.016400000000004,23.89,10.688986198027093
问题三连续调节,风电2-光伏3,2,3,72.0,822.136,0.0,41.638200000000005,0.0,18.316400000000005,4.630200000000006,4.752232883837052
问题三连续调节,风电2-光伏4,2,4,36.0,382.1318,3.3558,39.2842,1.6719999999999997,40.956199999999995,34.8602,15.135589353646662
问题三连续调节,风电2-光伏4,2,4,45.0,506.6960087912088,1.6838000000000002,41.638200000000005,1.2157999999999998,42.854000000000006,42.10620000000001,16.0035162409137
问题三连续调节,风电2-光伏4,2,4,54.0,632.7759999613802,0.0,41.638200000000005,-0.0,41.638200000000005,38.2062,15.792022492094286
问题三连续调节,风电2-光伏4,2,4,63.0,753.7045715232767,0.0,41.638200000000005,0.0,30.692200000000007,24.690200000000004,8.859392554611876
问题三连续调节,风电2-光伏4,2,4,72.0,886.776,0.0,41.638200000000005,0.0,11.916400000000003,5.75,3.4626605127656775
问题三连续调节,风电3-光伏1,3,1,36.0,223.3261995013259,455.44619956155225,35.008199999999995,57.1638,92.172,39.9002,30.9358391738339
问题三连续调节,风电3-光伏1,3,1,45.0,223.32619940328928,338.19619949073297,35.008199999999995,43.5342,78.54239999999999,35.008199999999995,26.957726249168452
问题三连续调节,风电3-光伏1,3,1,54.0,223.32619971831215,205.18218872930103,35.008199999999995,39.64,74.6482,35.008199999999995,22.165728612720343
问题三连续调节,风电3-光伏1,3,1,63.0,273.4381945054946,126.6302,35.008199999999995,22.834200000000003,57.8424,17.75559456785459,19.560629166207548
问题三连续调节,风电3-光伏1,3,1,72.0,402.2482,126.3682,36.8782,22.834200000000003,59.7124,13.945799999999995,21.61006165099952
问题三连续调节,风电3-光伏2,3,2,36.0,237.40619950132367,210.9661995615503,35.008199999999995,38.974,73.98219999999999,42.757999999999996,21.86486709370658
问题三连续调节,风电3-光伏2,3,2,45.0,237.406199646199,90.82336997586924,35.008199999999995,24.3342,59.3424,35.008199999999995,17.852532897155093
问题三连续调节,风电3-光伏2,3,2,54.0,277.8281874948234,3.726400000000009,35.008199999999995,3.6342,38.642399999999995,25.050212505176596,13.731540948785948
问题三连续调节,风电3-光伏2,3,2,63.0,410.20126263736284,3.726399999999998,36.8782,3.6342,40.5124,36.8782,14.352554140984978
问题三连续调节,风电3-光伏2,3,2,72.0,538.1664000000001,3.7264000000000053,36.8782,3.6342,40.5124,10.3658,12.484694207263903
问题三连续调节,风电3-光伏3,3,3,36.0,237.4061993679769,45.20619944430818,35.008199999999995,18.494,53.502199999999995,39.9002,15.917593510748134
问题三连续调节,风电3-光伏3,3,3,45.0,309.45,7.105427357601002e-15,35.008199999999995,3.552713678800501e-15,35.0082,20.492400000000007,12.863841958146354
问题三连续调节,风电3-光伏3,3,3,54.0,441.6752197802196,3.552713678800501e-15,36.8782,3.552713678800501e-15,36.87820000000001,36.8782,14.37700594058215
问题三连续调节,风电3-光伏3,3,3,63.0,567.1285714491353,0.0,36.8782,0.0,35.910399999999996,23.186199999999996,10.712743030411353
问题三连续调节,风电3-光伏3,3,3,72.0,700.1999999999999,0.0,36.8782,0.0,17.4724,4.556199999999997,4.5534165077810895
问题三连续调节,风电3-光伏4,3,4,36.0,256.84000000000003,4.440892098500626e-14,35.008199999999995,4.085620730620576e-14,35.00820000000004,35.008199999999995,13.798941205839752
问题三连续调节,风电3-光伏4,3,4,45.0,378.5858241758244,0.0,35.008199999999995,-0.0,35.008199999999995,27.383624175824398,12.968750400357345
问题三连续调节,风电3-光伏4,3,4,54.0,510.8399999680069,0.0,36.8782,-0.0,36.8782,36.8782,14.780452971973345
问题三连续调节,风电3-光伏4,3,4,63.0,631.7685714285715,0.0,36.8782,0.0,31.7724,22.696200000000005,9.62080300913677
问题三连续调节,风电3-光伏4,3,4,72.0,764.84,0.0,36.8782,0.0,11.072399999999998,4.821999999999999,3.2429328468053242
问题三连续调节,风电4-光伏1,4,1,36.0,187.3899995013262,518.0939995615524,34.51620000000001,58.1862,92.70240000000001,39.18599999999999,30.150582030386136
问题三连续调节,风电4-光伏1,4,1,45.0,188.95419971831046,399.53130411391476,34.51620000000001,43.7822,78.29840000000002,34.51620000000001,27.59066180104153
问题三连续调节,风电4-光伏1,4,1,54.0,188.95419971831063,266.4598755424864,34.51619971831061,43.7822,78.2983997183106,34.51619971831061,23.19981815451329
问题三连续调节,风电4-光伏1,4,1,63.0,224.18823626373614,173.70600000000002,34.516199999999984,23.082200000000007,57.59839999999999,18.48599999999999,19.392544671766945
问题三连续调节,风电4-光伏1,4,1,72.0,353.502,173.70600000000002,37.9142,23.082200000000007,60.99640000000001,18.486000000000004,23.001616125321863
问题三连续调节,风电4-光伏2,4,2,36.0,203.034199501326,272.6781995615523,34.51620000000001,43.522,78.03820000000002,41.834,22.60735194107945
问题三连续调节,风电4-光伏2,4,2,45.0,203.0341997183092,154.3806997183093,34.5162,24.5822,59.0984,34.5162,18.154999440640086
问题三连续调节,风电4-光伏2,4,2,54.0,203.03420000000003,21.309271428571563,34.51620000000001,5.711071428571557,40.22727142857157,34.51620000000001,13.093210776746513
问题三连续调节,风电4-光伏2,4,2,63.0,319.45304072723377,9.740199999999994,36.90799999999999,3.882199999999997,40.790199999999984,36.88284072723378,14.169426408181568
问题三连续调节,风电4-光伏2,4,2,72.0,448.09619999999995,9.740200000000016,37.9142,3.882199999999997,41.7964,10.829800000000006,13.235651700321457
问题三连续调节,风电4-光伏3,4,3,36.0,203.03419950132258,106.91819956154932,34.51620000000001,24.2662,58.78240000000001,39.10820000000001,16.335519094930387
问题三连续调节,风电4-光伏3,4,3,45.0,215.48674883589393,1.0658141036401503e-14,34.5162,3.552713678800501e-15,34.5162,34.5162,12.30431481234215
问题三连续调节,风电4-光伏3,4,3,54.0,344.79891215737496,7.105427357601002e-15,37.9142,3.552713678800501e-15,37.91420000000001,37.9142,13.682924225511988
问题三连续调节,风电4-光伏3,4,3,63.0,471.0445714927106,0.0,37.9142,0.0,37.914199999999994,24.0622,9.758784137030517
