场景,风电场景,光伏场景,日氨产量(t/day),时段,时段序号(h),常规负荷功率(MW),风电功率(MW),光伏功率(MW),新能源总功率(MW),碱性电解槽功率(MW),PEM电解槽功率(MW),合成氨装置功率(MW),总负荷功率(MW),购电功率(MW),售电功率(MW),碱性电解槽状态,PEM电解槽状态,合成氨装置状态,电网购电模式,碱性制氢量(kg/h),PEM制氢量(kg/h),合成氨产量(kg/h),购电电价(¥/kWh),售电电价(¥/kWh)
风电1-光伏1,1,1,63.0,3:00-4:00,4,0.99,13.312,0.0,13.312,20.0,19.999999999999993,1.4999999999999998,42.489999999999995,29.177999999999997,0.0,1,1,1,1,280.0,319.9999999999999,2999.9999999999995,0.3424,0.3779
风电1-光伏1,1,1,63.0,4:00-5:00,5,1.1802000000000001,15.072000000000001,0.0,15.072000000000001,20.0,20.0,1.5,42.6802,27.608199999999997,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,63.0,5:00-6:00,6,1.6301999999999999,18.724,0.0,18.724,20.0,20.0,1.5,43.1302,24.406200000000002,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,63.0,6:00-7:00,7,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,44.0002,20.2922,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,63.0,7:00-8:00,8,3.3701999999999996,22.804000000000002,25.6,48.404,20.0,20.0,1.5,44.8702,0.0,3.5338000000000065,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,63.0,8:00-9:00,9,4.0098,17.852,37.12,54.971999999999994,20.0,20.0,1.5,45.5098,0.0,9.462199999999996,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,63.0,9:00-10:00,10,4.199999999999999,14.328000000000001,46.08,60.408,20.0,20.0,1.5,45.7,0.0,14.707999999999998,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,63.0,10:00-11:00,11,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,45.6202,0.0,18.763800000000003,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,63.0,11:00-12:00,12,3.9000000000000004,7.736,55.04,62.775999999999996,20.0,20.0,1.5,45.4,0.0,17.375999999999998,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,63.0,12:00-13:00,13,3.2598000000000003,8.556000000000001,56.32,64.876,20.0,20.0,1.5,44.7598,0.0,20.116200000000006,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,63.0,13:00-14:00,14,2.6898,14.52,56.32,70.84,20.0,20.0,1.5,44.1898,0.0,26.650200000000005,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,63.0,14:00-15:00,15,3.63,6.707999999999999,52.48,59.187999999999995,20.0,20.0,1.5,45.129999999999995,0.0,14.058,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,63.0,15:00-16:00,16,3.8202000000000003,11.175999999999998,44.8,55.976,20.0,20.0,1.5,45.3202,0.0,10.6558,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,63.0,16:00-17:00,17,3.75,10.107999999999999,33.28,43.388,18.20096618357488,20.0,1.4370338164251208,43.388,0.0,0.0,1,1,1,0,254.81352657004834,320.0,2874.067632850242,0.6074,0.3779
风电1-光伏1,1,1,63.0,17:00-18:00,18,3.1398,6.3839999999999995,24.32,30.704,6.535458937198066,20.000000000000004,1.0287410628019324,30.704,0.0,0.0,1,1,1,0,91.49642512077293,320.00000000000006,2057.482125603865,0.6074,0.3779
风电1-光伏1,1,1,63.0,18:00-19:00,19,2.61,6.428000000000001,11.52,17.948,0.0,14.748076923076926,0.589923076923077,17.948000000000004,3.552713678800501e-15,0.0,0,1,1,0,0.0,235.96923076923082,1179.846153846154,0.8024,0.3779
风电1-光伏1,1,1,63.0,19:00-20:00,20,2.1198,5.736,0.0,5.736,0.0,3.7499999999999987,0.14999999999999997,6.019799999999999,0.2837999999999994,0.0,0,1,1,1,0.0,59.99999999999998,299.99999999999994,0.8024,0.3779
风电1-光伏1,1,1,63.0,20:00-21:00,21,1.8599999999999999,3.752,0.0,3.752,0.0,3.750000116756743,0.15000000467026972,5.760000121427012,2.0080001214270125,0.0,0,1,1,1,0.0,60.00000186810789,300.00000934053946,0.8024,0.3779
风电1-光伏1,1,1,63.0,21:00-22:00,22,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,20.000000000000007,20.0,1.5000000000000002,43.1302,39.4382,0.0,1,1,1,1,280.0000000000001,320.0,3000.0000000000005,0.6074,0.3779
风电1-光伏1,1,1,63.0,22:00-23:00,23,1.56,4.88,0.0,4.88,9.837201119416713,20.000000000000004,1.144302039179585,32.5415031585963,27.6615031585963,0.0,1,1,1,1,137.72081567183398,320.00000000000006,2288.60407835917,0.6074,0.3779
风电1-光伏1,1,1,63.0,23:00-24:00,24,1.4802,3.1919999999999997,0.0,3.1919999999999997,20.000000000000007,20.0,1.5000000000000002,42.98020000000001,39.78820000000001,0.0,1,1,1,1,280.0000000000001,320.0,3000.0000000000005,0.3424,0.3779
风电1-光伏1,1,1,54.0,0:00-1:00,1,1.3698000000000001,9.776,0.0,9.776,20.0,20.0,1.5,42.8698,33.0938,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,54.0,1:00-2:00,2,1.0997999999999999,10.904,0.0,10.904,20.000000000000007,20.0,1.5000000000000002,42.5998,31.695800000000002,0.0,1,1,1,1,280.0000000000001,320.0,3000.0000000000005,0.3424,0.3779
风电1-光伏1,1,1,54.0,2:00-3:00,3,0.7998000000000001,15.152000000000001,0.0,15.152000000000001,20.0,20.0,1.5,42.299800000000005,27.147800000000004,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,54.0,3:00-4:00,4,0.99,13.312,0.0,13.312,20.0,19.999999999999993,1.4999999999999998,42.489999999999995,29.177999999999997,0.0,1,1,1,1,280.0,319.9999999999999,2999.9999999999995,0.3424,0.3779
风电1-光伏1,1,1,54.0,4:00-5:00,5,1.1802000000000001,15.072000000000001,0.0,15.072000000000001,20.0,20.0,1.5,42.6802,27.608199999999997,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,54.0,5:00-6:00,6,1.6301999999999999,18.724,0.0,18.724,19.999999727829497,20.0,1.4999999904740324,43.13019971830352,24.406199718303522,0.0,1,1,1,1,279.99999618961294,320.0,2999.999980948065,0.3424,0.3779
风电1-光伏1,1,1,54.0,6:00-7:00,7,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,44.0002,20.2922,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,54.0,7:00-8:00,8,3.3701999999999996,22.804000000000002,25.6,48.404,20.0,20.0,1.5,44.8702,0.0,3.5338000000000065,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,54.0,8:00-9:00,9,4.0098,17.852,37.12,54.971999999999994,15.551487239309486,20.0,1.344302053375832,40.90558929268532,0.0,14.066410707314674,1,1,1,0,217.7208213503328,320.0,2688.604106751664,0.6074,0.3779
风电1-光伏1,1,1,54.0,9:00-10:00,10,4.199999999999999,14.328000000000001,46.08,60.408,20.0,20.0,1.5,45.7,0.0,14.707999999999998,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,54.0,10:00-11:00,11,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,45.6202,0.0,18.763800000000003,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,54.0,11:00-12:00,12,3.9000000000000004,7.736,55.04,62.775999999999996,20.0,20.0,1.5,45.4,0.0,17.375999999999998,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,54.0,12:00-13:00,13,3.2598000000000003,8.556000000000001,56.32,64.876,20.0,20.0,1.5,44.7598,0.0,20.116200000000006,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,54.0,13:00-14:00,14,2.6898,14.52,56.32,70.84,20.0,20.0,1.5,44.1898,0.0,26.650200000000005,1,1,1,0,280.0,320.0,3000.0,0.8024,0.3779
风电1-光伏1,1,1,54.0,14:00-15:00,15,3.63,6.707999999999999,52.48,59.187999999999995,0.0,20.0,0.7999999999999999,24.43,0.0,34.757999999999996,0,1,1,0,0.0,320.0,1599.9999999999998,0.8024,0.3779
风电1-光伏1,1,1,54.0,15:00-16:00,16,3.8202000000000003,11.175999999999998,44.8,55.976,0.0,20.0,0.8,24.6202,0.0,31.3558,0,1,1,0,0.0,320.0,1600.0,0.6074,0.3779
风电1-光伏1,1,1,54.0,16:00-17:00,17,3.75,10.107999999999999,33.28,43.388,18.20096618357488,20.0,1.4370338164251208,43.388,0.0,0.0,1,1,1,0,254.81352657004834,320.0,2874.067632850242,0.6074,0.3779
风电1-光伏1,1,1,54.0,17:00-18:00,18,3.1398,6.3839999999999995,24.32,30.704,6.535458937198066,20.000000000000004,1.0287410628019324,30.704,0.0,0.0,1,1,1,0,91.49642512077293,320.00000000000006,2057.482125603865,0.6074,0.3779
风电1-光伏1,1,1,54.0,18:00-19:00,19,2.61,6.428000000000001,11.52,17.948,0.0,14.748076923076926,0.589923076923077,17.948000000000004,3.552713678800501e-15,0.0,0,1,1,0,0.0,235.96923076923082,1179.846153846154,0.8024,0.3779
风电1-光伏1,1,1,54.0,19:00-20:00,20,2.1198,5.736,0.0,5.736,0.0,0.0,0.0,2.1198,0.0,3.6161999999999996,0,0,0,0,0.0,0.0,0.0,0.8024,0.3779
风电1-光伏1,1,1,54.0,20:00-21:00,21,1.8599999999999999,3.752,0.0,3.752,0.0,0.0,0.0,1.8599999999999999,0.0,1.892,0,0,0,0,0.0,0.0,0.0,0.8024,0.3779
风电1-光伏1,1,1,54.0,21:00-22:00,22,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,0.0,0.0,1.6301999999999999,0.0,2.0618,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,54.0,22:00-23:00,23,1.56,4.88,0.0,4.88,0.0,0.0,0.0,1.56,0.0,3.32,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,54.0,23:00-24:00,24,1.4802,3.1919999999999997,0.0,3.1919999999999997,20.000000000000007,20.0,1.5000000000000002,42.98020000000001,39.78820000000001,0.0,1,1,1,1,280.0000000000001,320.0,3000.0000000000005,0.3424,0.3779
风电1-光伏1,1,1,45.0,0:00-1:00,1,1.3698000000000001,9.776,0.0,9.776,20.0,20.0,1.5,42.8698,33.0938,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,45.0,1:00-2:00,2,1.0997999999999999,10.904,0.0,10.904,20.000000000000007,20.0,1.5000000000000002,42.5998,31.695800000000002,0.0,1,1,1,1,280.0000000000001,320.0,3000.0000000000005,0.3424,0.3779
风电1-光伏1,1,1,45.0,2:00-3:00,3,0.7998000000000001,15.152000000000001,0.0,15.152000000000001,20.0,20.0,1.5,42.299800000000005,27.147800000000004,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,45.0,3:00-4:00,4,0.99,13.312,0.0,13.312,19.99999972783744,19.999999999999996,1.4999999904743104,42.48999971831174,29.177999718311746,0.0,1,1,1,1,279.9999961897242,319.99999999999994,2999.9999809486208,0.3424,0.3779
风电1-光伏1,1,1,45.0,4:00-5:00,5,1.1802000000000001,15.072000000000001,0.0,15.072000000000001,20.0,20.0,1.5,42.6802,27.608199999999997,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,45.0,5:00-6:00,6,1.6301999999999999,18.724,0.0,18.724,20.0,20.0,1.5,43.1302,24.406200000000002,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,45.0,6:00-7:00,7,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,44.0002,20.2922,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,45.0,7:00-8:00,8,3.3701999999999996,22.804000000000002,25.6,48.404,11.716483788645942,20.0,1.210076932602608,36.29676072124855,0.0,12.10723927875145,1,1,1,0,164.03077304104318,320.0,2420.153865205216,0.6074,0.3779
风电1-光伏1,1,1,45.0,8:00-9:00,9,4.0098,17.852,37.12,54.971999999999994,20.0,20.0,1.5,45.5098,0.0,9.462199999999996,1,1,1,0,280.0,320.0,3000.0,0.6074,0.3779
风电1-光伏1,1,1,45.0,9:00-10:00,10,4.199999999999999,14.328000000000001,46.08,60.408,0.0,20.0,0.7999999999999999,25.0,0.0,35.408,0,1,1,0,0.0,320.0,1599.9999999999998,0.6074,0.3779
风电1-光伏1,1,1,45.0,10:00-11:00,11,4.1202,11.904,52.48,64.384,0.0,20.0,0.8,24.9202,0.0,39.4638,0,1,1,0,0.0,320.0,1600.0,0.8024,0.3779
风电1-光伏1,1,1,45.0,11:00-12:00,12,3.9000000000000004,7.736,55.04,62.775999999999996,0.0,20.0,0.7999999999999999,24.7,0.0,38.07599999999999,0,1,1,0,0.0,320.0,1599.9999999999998,0.8024,0.3779
风电1-光伏1,1,1,45.0,12:00-13:00,13,3.2598000000000003,8.556000000000001,56.32,64.876,0.0,20.0,0.7999999999999999,24.0598,0.0,40.81620000000001,0,1,1,0,0.0,320.0,1599.9999999999998,0.8024,0.3779
风电1-光伏1,1,1,45.0,13:00-14:00,14,2.6898,14.52,56.32,70.84,0.0,20.0,0.8,23.4898,0.0,47.3502,0,1,1,0,0.0,320.0,1600.0,0.8024,0.3779
风电1-光伏1,1,1,45.0,14:00-15:00,15,3.63,6.707999999999999,52.48,59.187999999999995,0.0,20.0,0.7999999999999999,24.43,0.0,34.757999999999996,0,1,1,0,0.0,320.0,1599.9999999999998,0.8024,0.3779
风电1-光伏1,1,1,45.0,15:00-16:00,16,3.8202000000000003,11.175999999999998,44.8,55.976,0.0,20.0,0.8,24.6202,0.0,31.3558,0,1,1,0,0.0,320.0,1600.0,0.6074,0.3779
风电1-光伏1,1,1,45.0,16:00-17:00,17,3.75,10.107999999999999,33.28,43.388,0.0,20.0,0.7999999999999999,24.55,0.0,18.837999999999997,0,1,1,0,0.0,320.0,1599.9999999999998,0.6074,0.3779
风电1-光伏1,1,1,45.0,17:00-18:00,18,3.1398,6.3839999999999995,24.32,30.704,0.0,20.0,0.8,23.9398,0.0,6.764199999999999,0,1,1,0,0.0,320.0,1600.0,0.6074,0.3779
风电1-光伏1,1,1,45.0,18:00-19:00,19,2.61,6.428000000000001,11.52,17.948,0.0,14.748076923076926,0.589923076923077,17.948000000000004,3.552713678800501e-15,0.0,0,1,1,0,0.0,235.96923076923082,1179.846153846154,0.8024,0.3779
风电1-光伏1,1,1,45.0,19:00-20:00,20,2.1198,5.736,0.0,5.736,0.0,0.0,0.0,2.1198,0.0,3.6161999999999996,0,0,0,0,0.0,0.0,0.0,0.8024,0.3779
风电1-光伏1,1,1,45.0,20:00-21:00,21,1.8599999999999999,3.752,0.0,3.752,0.0,0.0,0.0,1.8599999999999999,0.0,1.892,0,0,0,0,0.0,0.0,0.0,0.8024,0.3779
风电1-光伏1,1,1,45.0,21:00-22:00,22,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,0.0,0.0,1.6301999999999999,0.0,2.0618,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,45.0,22:00-23:00,23,1.56,4.88,0.0,4.88,0.0,0.0,0.0,1.56,0.0,3.32,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,45.0,23:00-24:00,24,1.4802,3.1919999999999997,0.0,3.1919999999999997,20.000000000000007,20.0,1.5000000000000002,42.98020000000001,39.78820000000001,0.0,1,1,1,1,280.0000000000001,320.0,3000.0000000000005,0.3424,0.3779
风电1-光伏1,1,1,36.0,0:00-1:00,1,1.3698000000000001,9.776,0.0,9.776,20.0,20.0,1.5,42.8698,33.0938,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,36.0,1:00-2:00,2,1.0997999999999999,10.904,0.0,10.904,19.99999951819328,20.0,1.499999983136765,42.59979950133005,31.695799501330047,0.0,1,1,1,1,279.99999325470594,320.0,2999.99996627353,0.3424,0.3779
风电1-光伏1,1,1,36.0,2:00-3:00,3,0.7998000000000001,15.152000000000001,0.0,15.152000000000001,20.0,20.0,1.5,42.299800000000005,27.147800000000004,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,36.0,3:00-4:00,4,0.99,13.312,0.0,13.312,20.0,19.999999999999993,1.4999999999999998,42.489999999999995,29.177999999999997,0.0,1,1,1,1,280.0,319.9999999999999,2999.9999999999995,0.3424,0.3779
风电1-光伏1,1,1,36.0,4:00-5:00,5,1.1802000000000001,15.072000000000001,0.0,15.072000000000001,20.0,20.0,1.5,42.6802,27.608199999999997,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,36.0,5:00-6:00,6,1.6301999999999999,18.724,0.0,18.724,20.0,20.0,1.5,43.1302,24.406200000000002,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,36.0,6:00-7:00,7,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,44.0002,20.2922,0.0,1,1,1,1,280.0,320.0,3000.0,0.3424,0.3779
风电1-光伏1,1,1,36.0,7:00-8:00,8,3.3701999999999996,22.804000000000002,25.6,48.404,0.0,10.000000421580863,0.4000000168632345,13.770200438444096,0.0,34.633799561555904,0,1,1,0,0.0,160.0000067452938,800.000033726469,0.6074,0.3779
风电1-光伏1,1,1,36.0,8:00-9:00,9,4.0098,17.852,37.12,54.971999999999994,0.0,0.0,0.0,4.0098,0.0,50.962199999999996,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,36.0,9:00-10:00,10,4.199999999999999,14.328000000000001,46.08,60.408,0.0,20.0,0.7999999999999999,25.0,0.0,35.408,0,1,1,0,0.0,320.0,1599.9999999999998,0.6074,0.3779
风电1-光伏1,1,1,36.0,10:00-11:00,11,4.1202,11.904,52.48,64.384,0.0,20.0,0.8,24.9202,0.0,39.4638,0,1,1,0,0.0,320.0,1600.0,0.8024,0.3779
风电1-光伏1,1,1,36.0,11:00-12:00,12,3.9000000000000004,7.736,55.04,62.775999999999996,0.0,20.0,0.7999999999999999,24.7,0.0,38.07599999999999,0,1,1,0,0.0,320.0,1599.9999999999998,0.8024,0.3779
风电1-光伏1,1,1,36.0,12:00-13:00,13,3.2598000000000003,8.556000000000001,56.32,64.876,0.0,20.0,0.7999999999999999,24.0598,0.0,40.81620000000001,0,1,1,0,0.0,320.0,1599.9999999999998,0.8024,0.3779
风电1-光伏1,1,1,36.0,13:00-14:00,14,2.6898,14.52,56.32,70.84,0.0,20.0,0.8,23.4898,0.0,47.3502,0,1,1,0,0.0,320.0,1600.0,0.8024,0.3779
风电1-光伏1,1,1,36.0,14:00-15:00,15,3.63,6.707999999999999,52.48,59.187999999999995,0.0,20.0,0.7999999999999999,24.43,0.0,34.757999999999996,0,1,1,0,0.0,320.0,1599.9999999999998,0.8024,0.3779
风电1-光伏1,1,1,36.0,15:00-16:00,16,3.8202000000000003,11.175999999999998,44.8,55.976,0.0,20.0,0.8,24.6202,0.0,31.3558,0,1,1,0,0.0,320.0,1600.0,0.6074,0.3779
风电1-光伏1,1,1,36.0,16:00-17:00,17,3.75,10.107999999999999,33.28,43.388,0.0,0.0,0.0,3.75,0.0,39.638,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,36.0,17:00-18:00,18,3.1398,6.3839999999999995,24.32,30.704,0.0,0.0,0.0,3.1398,0.0,27.5642,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,36.0,18:00-19:00,19,2.61,6.428000000000001,11.52,17.948,0.0,0.0,0.0,2.61,0.0,15.338000000000001,0,0,0,0,0.0,0.0,0.0,0.8024,0.3779
风电1-光伏1,1,1,36.0,19:00-20:00,20,2.1198,5.736,0.0,5.736,0.0,0.0,0.0,2.1198,0.0,3.6161999999999996,0,0,0,0,0.0,0.0,0.0,0.8024,0.3779
风电1-光伏1,1,1,36.0,20:00-21:00,21,1.8599999999999999,3.752,0.0,3.752,0.0,0.0,0.0,1.8599999999999999,0.0,1.892,0,0,0,0,0.0,0.0,0.0,0.8024,0.3779
风电1-光伏1,1,1,36.0,21:00-22:00,22,1.6301999999999999,3.6919999999999997,0.0,3.6919999999999997,0.0,0.0,0.0,1.6301999999999999,0.0,2.0618,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
风电1-光伏1,1,1,36.0,22:00-23:00,23,1.56,4.88,0.0,4.88,0.0,0.0,0.0,1.56,0.0,3.32,0,0,0,0,0.0,0.0,0.0,0.6074,0.3779
