日氨产量(t/day),场景特征,运行结果,Spearman描述性相关系数
54,高电价时段新能源占比(%),购电量(MWh),-0.6034782608695652
54,高电价时段新能源占比(%),售电量(MWh),0.6684467705305374
54,高电价时段新能源占比(%),净吨氨成本(¥/t),-0.66
54,高电价时段新能源占比(%),新能源自发自用比例(%),-0.6317034206476226
54,高电价时段新能源占比(%),新能源供电占比(%),0.6034782608695652
54,高电价时段新能源占比(%),上网电量比例(%),0.6235867316575244
54,原始缺电面积(MWh),购电量(MWh),0.2745747700496644
54,原始缺电面积(MWh),售电量(MWh),-0.016293763397807054
54,原始缺电面积(MWh),净吨氨成本(¥/t),0.2261203988644295
54,原始缺电面积(MWh),新能源自发自用比例(%),0.032479917717646
54,原始缺电面积(MWh),新能源供电占比(%),-0.2745747700496644
54,原始缺电面积(MWh),上网电量比例(%),-0.016222142113076255
45,新能源总发电量(MWh),购电量(MWh),-0.928695652173913
45,新能源总发电量(MWh),售电量(MWh),0.8484797056096429
45,新能源总发电量(MWh),净吨氨成本(¥/t),-0.9991304347826087
45,新能源总发电量(MWh),新能源自发自用比例(%),-0.7941598278994159
45,新能源总发电量(MWh),新能源供电占比(%),0.928695652173913
45,新能源总发电量(MWh),上网电量比例(%),0.8309387912051329
45,高电价时段新能源占比(%),购电量(MWh),-0.46347826086956523
45,高电价时段新能源占比(%),售电量(MWh),0.7314480220772783
45,高电价时段新能源占比(%),净吨氨成本(¥/t),-0.6417391304347826
45,高电价时段新能源占比(%),新能源自发自用比例(%),-0.7418263960773785
45,高电价时段新能源占比(%),新能源供电占比(%),0.46347826086956523
45,高电价时段新能源占比(%),上网电量比例(%),0.7093698752396206
45,原始缺电面积(MWh),购电量(MWh),0.35533205535838924
45,原始缺电面积(MWh),售电量(MWh),0.08111071056538127
45,原始缺电面积(MWh),净吨氨成本(¥/t),0.24227185592617448
45,原始缺电面积(MWh),新能源自发自用比例(%),-0.0810041961260418
45,原始缺电面积(MWh),新能源供电占比(%),-0.35533205535838924
45,原始缺电面积(MWh),上网电量比例(%),0.08093341918275387
36,新能源总发电量(MWh),购电量(MWh),-0.6147826086956522
36,新能源总发电量(MWh),售电量(MWh),0.9793433586591678
36,新能源总发电量(MWh),净吨氨成本(¥/t),-0.9991304347826087
36,新能源总发电量(MWh),新能源自发自用比例(%),-0.9730203859187238
36,新能源总发电量(MWh),新能源供电占比(%),0.6147826086956522
36,新能源总发电量(MWh),上网电量比例(%),0.9773913043478261
36,高电价时段新能源占比(%),购电量(MWh),0.09739130434782609
36,高电价时段新能源占比(%),售电量(MWh),0.6831920144109913
36,高电价时段新能源占比(%),净吨氨成本(¥/t),-0.6417391304347826
36,高电价时段新能源占比(%),新能源自发自用比例(%),-0.6666669191536158
36,高电价时段新能源占比(%),新能源供电占比(%),-0.09739130434782609
36,高电价时段新能源占比(%),上网电量比例(%),0.6808695652173913
36,原始缺电面积(MWh),购电量(MWh),0.5814524542228188
36,原始缺电面积(MWh),售电量(MWh),-0.11308478575400854
36,原始缺电面积(MWh),净吨氨成本(¥/t),0.24227185592617448
36,原始缺电面积(MWh),新能源自发自用比例(%),0.11315864106987363
36,原始缺电面积(MWh),新能源供电占比(%),-0.5814524542228188
36,原始缺电面积(MWh),上网电量比例(%),-0.11306019943221475
