场景,日氨产量(t/day),最大功率平衡残差(MW),最大氢氨物料平衡残差(kg/h),日产量约束残差(MWh),半连续边界最大违反量(MW),购售电同时发生最大值(MW2),一级目标重算残差(¥/day),三级成本容差(¥/day)
风电4-光伏4,54.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,5.820766091346741e-11,-1.7462298274040222e-10
风电4-光伏4,45.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,3.9968028886505635e-15,0.0,2.9103830456733704e-11,1.9552622688934207e-05
风电4-光伏4,36.0,0.0,5.684341886080802e-14,3.552713678800501e-15,0.0,0.0,0.0,1.1607800843194127e-05
风电5-光伏1,72.0,0.0,0.0,0.0,0.0,0.0,2.9103830456733704e-11,2.9103830456733704e-11
风电5-光伏1,63.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,2.9103830456733704e-11,-5.820766091346741e-11
风电5-光伏1,54.0,0.0,0.0,0.0,0.0,0.0,2.9103830456733704e-11,9.999857866205275e-06
风电5-光伏1,45.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,9.094947017729282e-12,1.0000068868976086e-05
风电5-光伏1,36.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,7.275957614183426e-12,1.0000032489188015e-05
风电5-光伏2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏2,63.0,0.0,2.842170943040401e-14,7.105427357601002e-15,3.552713678800501e-15,0.0,0.0,2.7152360416948795e-05
风电5-光伏2,54.0,0.0,2.842170943040401e-14,7.105427357601002e-15,3.907985046680551e-14,0.0,2.9103830456733704e-11,-1.7462298274040222e-10
风电5-光伏2,45.0,0.0,5.684341886080802e-14,7.105427357601002e-15,0.0,0.0,0.0,1.1141513823531568e-05
风电5-光伏2,36.0,0.0,0.0,0.0,0.0,0.0,7.275957614183426e-12,1.0000003385357559e-05
风电5-光伏3,72.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
风电5-光伏3,63.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.820766091346741e-11
风电5-光伏3,54.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,5.820766091346741e-11,2.7668080292642117e-05
风电5-光伏3,45.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,2.9103830456733704e-11,1.8421851564198732e-05
风电5-光伏3,36.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,1.4551915228366852e-11,1.1253621778450906e-05
风电5-光伏4,72.0,0.0,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.0
风电5-光伏4,63.0,0.0,0.0,0.0,0.0,0.0,5.820766091346741e-11,4.2901490814983845e-05
风电5-光伏4,54.0,0.0,5.684341886080802e-14,7.105427357601002e-15,0.0,0.0,0.0,-1.1641532182693481e-10
风电5-光伏4,45.0,3.552713678800501e-15,5.684341886080802e-14,3.552713678800501e-15,3.552713678800501e-15,0.0,2.9103830456733704e-11,2.2385705960914493e-05
风电5-光伏4,36.0,0.0,7.105427357601002e-15,3.552713678800501e-15,7.105427357601002e-15,0.0,2.9103830456733704e-11,1.3696320820599794e-05
风电6-光伏1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏1,63.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,1.913611777126789e-05
风电6-光伏1,54.0,0.0,0.0,3.552713678800501e-15,2.1316282072803006e-14,0.0,0.0,1.1501542758196592e-05
风电6-光伏1,45.0,0.0,0.0,7.105427357601002e-15,2.1316282072803006e-14,0.0,1.4551915228366852e-11,9.99995245365426e-06
风电6-光伏1,36.0,0.0,0.0,7.105427357601002e-15,2.1600499167107046e-12,0.0,8.618411811767146e-06,9.99995245365426e-06
风电6-光伏2,72.0,0.0,0.0,0.0,0.0,0.0,5.820766091346741e-11,0.0
风电6-光伏2,63.0,0.0,0.0,0.0,2.1316282072803006e-14,0.0,0.0,3.25122382491827e-05
风电6-光伏2,54.0,0.0,5.684341886080802e-14,3.552713678800501e-15,2.1316282072803006e-14,0.0,0.0,2.3054861230775714e-05
风电6-光伏2,45.0,0.0,4.263256414560601e-14,7.105427357601002e-15,2.1316282072803006e-14,0.0,0.0,1.4958612155169249e-05
风电6-光伏2,36.0,0.0,5.684341886080802e-14,0.0,7.105427357601002e-15,0.0,0.0,1.0000017937272787e-05
风电6-光伏3,72.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.0
风电6-光伏3,63.0,0.0,5.684341886080802e-14,1.4210854715202004e-14,6.750155989720952e-14,0.0,0.0,4.4368207454681396e-05
风电6-光伏3,54.0,0.0,5.684341886080802e-14,1.0658141036401503e-14,7.105427357601002e-15,0.0,0.0,-2.3283064365386963e-10
风电6-光伏3,45.0,0.0,5.684341886080802e-14,1.0658141036401503e-14,2.1316282072803006e-14,0.0,2.9103830456733704e-11,2.39246292039752e-05
风电6-光伏3,36.0,0.0,5.684341886080802e-14,0.0,7.105427357601002e-15,0.0,0.0,-2.9103830456733704e-11
风电6-光伏4,72.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
风电6-光伏4,63.0,0.0,5.684341886080802e-14,1.4210854715202004e-14,2.1316282072803006e-14,0.0,0.0,4.909303970634937e-05
风电6-光伏4,54.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,2.1316282072803006e-14,0.0,0.0,3.7799589335918427e-05
风电6-光伏4,45.0,0.0,5.684341886080802e-14,1.0658141036401503e-14,2.1316282072803006e-14,0.0,0.0,2.808746648952365e-05
风电6-光伏4,36.0,0.0,5.684341886080802e-14,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,-1.1641532182693481e-10
